,start,end,technique,text,id,full_text,start_new,end_new
15,171,201,Loaded Language,أعاق الإدارة لأكثر من شهرا,33962,كانت وكالات المخابرات تتدافع يوم الثلاثاء للامتثال لأمر كاسح أصدره الرئيس ترامب لرفع السرية عن الوثائق الرئيسية التي يمكن أن تلقي الضوء على أصول تحقيق التواطؤ الروسي الذي أعاق الإدارة لأكثر من شهرا,171.0,197.0
16,120,138,Loaded Language,يروجون لأمر الرئيس,33965,قال مصدر ل إن الجمهوريين في الكابيتول هيل بمن فيهم رئيس لجنة المخابرات بمجلس النواب ديفين نونيس كاليفورنيا يروجون لأمر الرئيس قائلين إنه يغطي كل ما يريده إلى حد كبير والرسائل النصية مكافأة,107.0,125.0
17,116,127,Name calling/Labeling,مذكرة حزبية,33968,أمر الرئيس مشابه لخطوته في فبراير عندما مهد الطريق أمام لجنة المخابرات بمجلس النواب التي يقودها الجمهوريون لإصدار مذكرة حزبية حول مذكرة المراقبة على كارتر بيج,114.0,125.0
18,31,38,Loaded Language,سريالية,33969,توجت المحادثات غير المسبوقة والسريالية التي استمرت قرابة خمس ساعات بين الرئيس الأمريكي دونالد ترامب ورئيس كوريا الشمالية كيم جونغ أون يوم الثلاثاء بإعلانات مبهرة عن صداقة جديدة ولكن مجرد تعهدات غامضة بنزع السلاح النووي,31.0,38.0
19,38,43,Loaded Language,منتصر,33970,بالنسبة لترامب كان هذا بمثابة نتيجة منتصرة في مقامرته غير العادية مع الزعيم المستبد للمملكة المارقة,36.0,41.0
20,12,21,Loaded Language,دراماتيكي,33971,لكن الفعل الدراماتيكي المتمثل في مد يده إلى أحد خصوم أمريكا القدامى سيوضح إلى الأبد فترة ترامب التي تحركها الأحشاء والمعيار,12.0,21.0
21,74,83,Exaggeration/Minimisation,إلى الأبد,33971,لكن الفعل الدراماتيكي المتمثل في مد يده إلى أحد خصوم أمريكا القدامى سيوضح إلى الأبد فترة ترامب التي تحركها الأحشاء والمعيار,74.0,83.0
22,38,49,Loaded Language,مشكلة كبيرة,33976,وبدلا من ذلك توقع أنه يمكن أن يحل مشكلة كبيرة معضلة كبيرة إلى جانب شريكه الجديد,34.0,45.0
23,52,63,Loaded Language,معضلة كبيرة,33976,وبدلا من ذلك توقع أنه يمكن أن يحل مشكلة كبيرة معضلة كبيرة إلى جانب شريكه الجديد,46.0,57.0
24,12,38,Slogans,بالعمل معا سنهتم بالأمر,33977,قال ترامب بالعمل معا سنهتم بالأمر,10.0,33.0
25,24,30,Loaded Language,تاريخي,33979,قبل دقائق من المصافحة التاريخية كتب ترامب على تويتر أن كبير مستشاريه الاقتصاديين لاري كودلو أصيب بنوبة قلبية,24.0,30.0
26,25,32,Loaded Language,سريالية,33980,حتى كيم بدا وكأنه يعترف بسريالية اليوم,25.0,32.0
27,1,5,Loaded Language,أشاد,33981,وأشاد ترامب في ختام القمة بالمحادثات ووصفها بأنها إنجاز تاريخي وشخصي,1.0,5.0
28,7,13,Exaggeration/Minimisation,العالم,33987,سيشهد العالم تغييرا كبيرا,6.0,12.0
29,12,18,Flag-waving,جنودنا,33988,أريد إخراج جنودنا,11.0,17.0
30,127,139,Exaggeration/Minimisation,تغيير العالم,33989,لقد أبدى ترامب اهتماما شديدا بمهرجان اليوم وأصر على أن الصور التي تم بثها حول العالم تعكس قائدا قياديا يقوم بخطوة حاسمة لتغيير العالم,121.0,133.0
31,18,25,Name calling/Labeling,مستقبلي,33990,هنا في سنغافورة المستقبلية كان كيم قادرا على رؤية فوائد التقدم الاقتصادي من مسافة قريبة,18.0,25.0
32,0,36,Black-and-white Fallacy/Dictatorship,تركها تجاوز الفصل يجعلها عرضة للتنمر,33994,تركها تجاوز الفصل يجعلها عرضة للتنمر,0.0,36.0
33,87,117,Slogans,حرية الضمير ليست متاحة للتصويت,34001,وقال حتى لو كان في المائة من الناس في المجتمع يريدون ذلك فعليهم أن يتذكروا أن حرية الضمير ليست متاحة للتصويت,78.0,108.0
34,105,122,Loaded Language,عدوانية بشكل مفرط,34003,غالبا ما كان السيد أوباما يوبخ المراسلين بمن فيهم السيد أكوستا في إحدى المناسبات بسبب أسئلة اعتبرها عدوانية بشكل مفرط أو مبالغة في الجاذبية,100.0,117.0
35,58,62,Loaded Language,تضخم,34005,بدورها أسقطت دعواها القضائية بشأن هذه المسألة والتي تضخمت لتصبح اختبارا لحريات الصحافة في عهد ترامب,52.0,56.0
36,56,59,Loaded Language,غضب,34007,لكن في حين استسلمت لأكوستا الذي أثارت أسئلته الحماسية غضب السيد ترامب استغلت الإدارة المناسبة لوضع مجموعة من القواعد الرسمية التي تحكم سلوك المراسلين في المؤتمرات الصحفية المستقبلية في البيت الأبيض وهي خطوة غير عادية للغاية,54.0,57.0
37,91,111,Loaded Language,السلوك القذر والمنحط,34015,خلال ذلك قال السيد فراخان أن اليهود الأقوياء هم أعداؤه وأن اليهود مسؤولون عن كل هذا السلوك القذر والمنحط الذي تبثه هوليوود لتحويل الرجال إلى نساء ونساء إلى رجال بالإضافة إلى آخرين ملاحظات حارقة,84.0,104.0
38,25,70,Exaggeration/Minimisation,وصفه عام لأدولف هتلر بأنه رجل عظيم جدا,34019,من بين تعليقاته الشائنة وصفه عام لأدولف هتلر بأنه رجل عظيم جدا,24.0,62.0
39,34,66,Loaded Language,الآراء المؤذية والمثيرة للانقسام,34022,اليوم لا يختلف فهو لا يزال يرفض الآراء المؤذية والمثيرة للانقسام التي يواصل فرخان تبنيها,32.0,64.0
40,0,50,Doubt,لماذا تردد تاميكا مالوري وداني ديفيس في التنديد به,34025,لماذا تردد تاميكا مالوري وداني ديفيس في التنديد به,0.0,50.0
41,1,140,Flag-waving,هذه هي السويد الجديدة الجنة الجديدة والمثيرة الديناميكية ومتعددة الثقافات التي كافح الكثيرون هنا في هذا التجمع من أجل إنشائها لسنوات عديدة,34028,هذه هي السويد الجديدة الجنة الجديدة والمثيرة الديناميكية ومتعددة الثقافات التي كافح الكثيرون هنا في هذا التجمع من أجل إنشائها لسنوات عديدة قال ساخرا,0.0,138.0
42,1,5,Loaded Language,أشاد,34031,وأشاد رايان بيتي الذي كانت ابنته من بين القتلى بتصويت مجلس النواب في تغريدة على تويتر,1.0,5.0
43,177,192,Loaded Language,سياسي كنسي ماكر,34033,لكن هذه الخطوة توضح إذا كانت هناك حاجة إلى مزيد من الأدلة أن بيرجوليو لم يكن أبدا رسول الرحمة المتواضع الذي تم تصويره في روايته للعلاقات العامة المصممة بعناية بل بالأحرى سياسي كنسي ماكر يخطط باستمرار ويخطط للحصول على ما يريد,170.0,185.0
44,0,62,Loaded Language,وهذا هو بالضبط الهراء الذي يتوقعه فاستيجي وغولدشتاين أن نبتلعه,34035,وهذا هو بالضبط الهراء الذي يتوقعه فاستيجي وغولدشتاين أن نبتلعه البابا فرانسيس لا يتحدث عن عرض لعمل خاطئ بشكل موضوعي بل عن هبة الذات التي تتحرك نحو الله والمعيار الأخلاقي الموضوعي,0.0,62.0
45,43,137,Causal Oversimplification,كل الاضطرابات التي أثارتها هي مجرد سوء فهم سببه أشخاص غير مطلعين لم يستشروا النص اللاتيني,34038,لذا كما يعتقد و فإن كل الاضطرابات التي أثارتها هي مجرد سوء فهم سببه أشخاص غير مطلعين لم يستشروا النص اللاتيني بما في ذلك المترجمون الجاهلون من الفاتيكان,20.0,109.0
46,0,101,Loaded Language,لكن مثل هذه الحقائق المحرجة لا يجب أن تعرقل قطار برجوجليان ميرسي حيث يتجه نحو حطام قطار في نهاية الخط,34039,لكن مثل هذه الحقائق المحرجة لا يجب أن تعرقل قطار برجوجليان ميرسي حيث يتجه نحو حطام قطار في نهاية الخط,0.0,101.0
47,7,28,Name calling/Labeling,مترجمينا الديناميكيين,34040,حتى أن مترجمينا الديناميكيين يقدمون تفسيرهم الديناميكي الخاص للغة العربية ليعني أن التقدمة لله التي يتحدث عنها فرانسيس هي مجرد قرار من قبل الزوجين المطلقين و المتزوجين مرة أخرى ولديهما أطفال بعدم إنهاء علاقتهما والتي ستكون الكمال نموذج موضوعي بل بالأحرى العيش في حصر حتى يتمكنوا بعد إعلان البطلان المأمول من الدخول في زواج حقيقي أي أنهم سيطلبون من فرنسيس أن يؤكد اتحاد العائلة ليوحنا بولس الثاني الذي يكرر تعاليم الكنيسة المستمرة بأن الزنا مطلوب من أولئك الذين دخلوا في زواج ثان زاني وإلا فلا يمكن قبولهم في الأسرار المقدسة,7.0,28.0
48,0,53,Appeal to fear/prejudice,بمعنى ما ما يفعله برجوليو هو أسوأ من البدعة الصريحة,34041,بمعنى ما ما يفعله برجوليو هو أسوأ من البدعة الصريحة والتي يمكن على الأقل تحديدها بسهولة وشجبها على هذا النحو,0.0,51.0
49,0,22,Thought-terminating cliché,ولكن انتظر هناك المزيد,34044,ولكن انتظر هناك المزيد,0.0,22.0
50,27,32,Loaded Language,كارثي,34046,أضفى اتفاق أوباما النووي الكارثي مع إيران الشرعية على مسار إيران لتصبح في نهاية المطاف دولة مسلحة نوويا بينما تملأ خزائنها على الفور بمليارات الدولارات لتمويل عدوانها,27.0,32.0
51,0,15,Loaded Language,إنه وحش جديد,34047,إنه وحش جديد,0.0,12.0
52,79,115,Causal Oversimplification,مما أدى إلى عودة ظهور داعش في العراق,34050,في عام قام أوباما بإزالة القوات الأمريكية القتالية المتبقية من العراق مما أدى إلى عودة ظهور داعش في العراق من قواعده في سوريا,70.0,106.0
53,0,45,Doubt,يبقى أن نرى ما إذا كانت إدارة ترامب ستتبع ذلك,34054,يبقى أن نرى ما إذا كانت إدارة ترامب ستتبع ذلك,0.0,45.0
54,0,84,Doubt,هذا يلقي بسردهم بالكامل موضع تساؤل ويجعل المرء يتساءل ما الذي يتم إخفاؤه عن الجمهور,34058,هذا يلقي بسردهم بالكامل موضع تساؤل ويجعل المرء يتساءل ما الذي يتم إخفاؤه عن الجمهور,0.0,83.0
55,58,73,Doubt,ما يسمى بالأدلة,34060,كما لوحظ أعلاه في هذه المرحلة لا يمكن الوثوق بكل جزء مما يسمى بالأدلة التي قدمتها السلطات ثم تجددها وسائل الإعلام السائدة ويجب اعتباره معلومات مضللة حتى يثبت العكس,54.0,69.0
56,0,77,Whataboutism,في حين لم يكشف المسؤولون عن اسم المرأة إلا أنهم أبلغوا المراسلين أنها عاهرة,34064,في حين لم يكشف المسؤولون عن اسم المرأة إلا أنهم أبلغوا المراسلين أنها عاهرة,0.0,75.0
57,3,9,Loaded Language,تحريفه,34068,إن تحريفها من قبل المتطرفين المعادين لليهود ولإسرائيل الذين تركوا لخدمة الروايات المعادية للسامية هو أمر مأساوي,3.0,9.0
58,0,100,Appeal to fear/prejudice,فإما أن تقف مع حركة المقاطعة وحماس وكراهية الدم وأولئك الذين يريدون تدمير إسرائيل أو مع اليهود,34069,فإما أن تقف مع حركة المقاطعة وحماس وكراهية الدم وأولئك الذين يريدون تدمير إسرائيل أو مع اليهود,0.0,94.0
59,0,31,Thought-terminating cliché,كلنا لدينا خيارات يجب أن نتخذها,34071,كلنا لدينا خيارات يجب أن نتخذها,0.0,31.0
60,0,270,Black-and-white Fallacy/Dictatorship,لا يجوز التأكيد على ما يسمى بالقداس الجماعي على استخفاف الجماهير التي يتم الاحتفال بها على انفراد أو المبالغة في عنصر العلامة الأسرارى كما لو أن الرمزية التي يعترف بها الجميع بالتأكيد في الإفخارستيا تعبر بشكل كامل ومستنفد تماما طريقة حضور المسيح في هذا السر,34078,لا يجوز التأكيد على ما يسمى بالقداس الجماعي على استخفاف الجماهير التي يتم الاحتفال بها على انفراد أو المبالغة في عنصر العلامة الأسرارى كما لو أن الرمزية التي يعترف بها الجميع بالتأكيد في الإفخارستيا تعبر بشكل كامل ومستنفد تماما طريقة حضور المسيح في هذا السر,0.0,257.0
61,0,88,Thought-terminating cliché,ولكن مهما كانت عيوبه فإن هو الذي وجدته وأنا مقتنع بأنه لم يكن مصادفة,34082,ولكن مهما كانت عيوبه فإن هو الذي وجدته وأنا مقتنع بأنه لم يكن مصادفة,0.0,68.0
62,95,104,Loaded Language,هراء خبيث,34083,لقد علمت بالكلام والضمني أن كل شيء علمته الكنيسة الكاثوليكية قبل الفاتيكان الثاني كان مجرد هراء خبيث,91.0,100.0
63,0,80,Appeal to fear/prejudice,سيحل شتاء مظلم لا يمكن اختراقه و لا رجوع فيه من اضطهاد المؤمنين على يد رعاتهم,34085,سيحل شتاء مظلم لا يمكن اختراقه و لا رجوع فيه من اضطهاد المؤمنين على يد رعاتهم,0.0,77.0
64,74,121,Doubt,لماذا لم تندفع الشرطة إلى مكان الحادث على الفور,34086,ماذا حدث خلال دقائق بين إطلاق النار على كامبوس وإطلاق النار من بادوك ولماذا لم تندفع الشرطة إلى مكان الحادث على الفور,70.0,117.0
65,0,92,Thought-terminating cliché,عندما أصبحت الأيام أسابيع ستصبح الأسابيع شهورا وسيزداد البقاء على قيد الحياة أكثر صعوبة,34089,عندما أصبحت الأيام أسابيع ستصبح الأسابيع شهورا وسيزداد البقاء على قيد الحياة أكثر صعوبة,0.0,87.0
66,81,172,Flag-waving,نحن نبذل قصارى جهدنا لتلبية احتياجات المواطنين الأمريكيين في بورتوريكو خلال فترة الأزمة هذه,34090,كتب روسيلو لقد عانت بورتوريكو من كارثة طبيعية بحجم لم نشهده منذ أكثر من قرن ونحن نبذل قصارى جهدنا لتلبية احتياجات المواطنين الأمريكيين في بورتوريكو خلال فترة الأزمة هذه,77.0,168.0
67,22,46,Exaggeration/Minimisation,مستوى الدمار غير المسبوق,34091,وأضاف ومع ذلك فإن مستوى الدمار غير المسبوق إلى جانب الإغلاق شبه الكامل للأعمال في بورتوريكو جعل من المستحيل علينا تلبية الاحتياجات البشرية الكبيرة دون التدابير المقترحة أعلاه,18.0,42.0
68,103,129,Name calling/Labeling,الجزيرة التي دمرها الإعصار,34092,هذه أخبار مدمرة لأولئك الذين يعيشون في بورتوريكو حيث لم يعد بإمكان السفن الأجنبية تقديم المساعدة إلى الجزيرة التي دمرها الإعصار من موانئ الولايات المتحدة,101.0,127.0
69,40,43,Loaded Language,دمر,34093,في أعقاب الإعصار ماريا ظلت بورتوريكو مدمرة,38.0,41.0
70,68,94,Loaded Language,سلسلة من التعليقات المروعة,34094,باليرمو الذي أجرى مقابلات مختلفة منذ الهجوم ظهر في بسلسلة من التعليقات المروعة التي ترتبط بتقارير أخرى مختلفة تشير إلى أن العديد من الرماة نفذوا الهجوم وأن مكتب التحقيقات الفيدرالي يقوم بالتغطية على هذا الأمر,52.0,78.0
71,0,93,Whataboutism,لاحظ أن ما يقصده هنا هو إطلاق النار على الأشخاص من الطابق الأرضي بدلا من الطابق من الفندق,34095,لاحظ أن ما يقصده هنا هو إطلاق النار على الأشخاص من الطابق الأرضي بدلا من الطابق من الفندق,0.0,89.0
72,36,46,Loaded Language,قنبلة ضخمة,34096,من الواضح أن هذه الشهادة المذهلة هي قنبلة ضخمة في التحقيق الجاري في حادث إطلاق النار الجماعي في لاس فيجاس ومن المؤكد أنها ستستمر في إضافة مصداقية إلى الاعتقاد المتزايد بأننا لم يتم إخبارنا بما حدث بالفعل في تلك الليلة المشؤومة,36.0,46.0
73,36,64,Doubt,قنبلة ضخمة في التحقيق الجاري,34096,من الواضح أن هذه الشهادة المذهلة هي قنبلة ضخمة في التحقيق الجاري في حادث إطلاق النار الجماعي في لاس فيجاس ومن المؤكد أنها ستستمر في إضافة مصداقية إلى الاعتقاد المتزايد بأننا لم يتم إخبارنا بما حدث بالفعل في تلك الليلة المشؤومة,36.0,64.0
74,254,281,Whataboutism,بينما فرانسيس لا يفعل شيئا,34097,من سخرية القدر يرى الفريسيون والقانونيون في الأيام الأخيرة فرنسيس حول كل زاوية أنهم يعملون بجد للدفاع عن في نفس اللحظة التي يتم الاستشهاد بها من قبل الأسقف بعد الأسقف باعتبارها السلطة الوحيدة لقبول الزناة العلنيين في المناولة المقدسة بينما فرانسيس لا يفعل شيئا سوى الموافقة,234.0,260.0
75,0,172,Doubt,مع كل الاحترام الواجب للدكتور فاستيجي فإن حجته وحجة بوتيليوني القائلة بأن الابتعاد عن الخطيئة هو ما يرضي الله حتى لو لم يتم الالتزام بالمعايير الأخلاقية فهو سفسطائي,34098,مع كل الاحترام الواجب للدكتور فاستيجي فإن حجته وحجة بوتيليوني القائلة بأن الابتعاد عن الخطيئة هو ما يرضي الله حتى لو لم يتم الالتزام بالمعايير الأخلاقية فهو سفسطائي,0.0,164.0
76,0,61,Appeal to fear/prejudice,من البديهي حدوث كارثة أخلاقية وليس من الممكن إنكار سببها بصدق,34099,من البديهي حدوث كارثة أخلاقية وليس من الممكن إنكار سببها بصدق,0.0,61.0
77,49,66,Thought-terminating cliché,بقلب وعقل منفتحين,34100,لا يسعني إلا أن أطلب منك دراسة الأمر بعناية أكبر بقلب وعقل منفتحين,49.0,66.0
78,61,109,Loaded Language,بقلب وعقل منفتحين ولكن قبل كل شيء بعيون مفتوحة,34101,أعتقد أنه يجب عليك اتباع نصيحتك الخاصة حول دراسة هذه المسألة بقلب وعقل منفتحين ولكن قبل كل شيء بعيون مفتوحة لأنك قد أغلقتهم بوضوح عما يجري في الأبرشيات باسم,61.0,107.0
79,32,57,Name calling/Labeling,جنود مشاة لكنيسة ليفياثان,34106,يقول إن الدكتور غولدشتاين وأنا جنود مشاة لكنيسة ليفياثان لأننا ندافع عن الحبر الروماني,31.0,56.0
80,0,35,Doubt,ما الذي يريدون منا أن نصدقه بالضبط,34107,ما الذي يريدون منا أن نصدقه بالضبط,0.0,34.0
81,0,104,Doubt,من الواضح أن هناك أشياء معينة يبدو أن مكتب التحقيقات الفيدرالي والمحققين الآخرين عازمون على التستر عليها,34108,من الواضح أن هناك أشياء معينة يبدو أن مكتب التحقيقات الفيدرالي والمحققين الآخرين عازمون على التستر عليها,0.0,104.0
82,0,15,Thought-terminating cliché,ببطء ولكن بثبات,34110,ببطء ولكن بثبات بدأنا نرى الرواية الرسمية المتعلقة بمذبحة لاس فيغاس يتم تدميرها بالكامل,0.0,15.0
83,0,83,Doubt,ضع في اعتبارك أن هذه هي جميع المعلومات التي أخفتها الشرطة ومكتب التحقيقات الفيدرالي,34112,ضع في اعتبارك أن هذه هي جميع المعلومات التي أخفتها الشرطة ومكتب التحقيقات الفيدرالي عن الشعب الأمريكي,0.0,83.0
84,0,101,Flag-waving,ضع في اعتبارك أن هذه هي جميع المعلومات التي أخفتها الشرطة ومكتب التحقيقات الفيدرالي عن الشعب الأمريكي,34112,ضع في اعتبارك أن هذه هي جميع المعلومات التي أخفتها الشرطة ومكتب التحقيقات الفيدرالي عن الشعب الأمريكي,0.0,101.0
85,0,59,Doubt,يمكن للمرء أن يتخيل فقط ما هي أسباب هذه الأكاذيب في الواقع,34113,يمكن للمرء أن يتخيل فقط ما هي أسباب هذه الأكاذيب في الواقع,0.0,58.0
86,61,71,Name calling/Labeling,أقل بريقا,34114,أو بالأحرى ضبط أجنبيان غير شرعيين يهربان أجانب غير شرعيين أقل بريقا,58.0,67.0
87,24,61,Exaggeration/Minimisation,تقترب من تقنين جميع المخالفين للقانون,34115,إذا قمت بتقنينهم فأنت تقترب من تقنين جميع المخالفين للقانون,22.0,59.0
88,0,104,Black-and-white Fallacy/Dictatorship,إما هذا أو يمكنهم الذهاب إلى نيويورك تايمز أكثر لأن الجالية اليهودية لن تسمح لهم بحرق الصلبان في حديقتهم,34118,إما هذا أو يمكنهم الذهاب إلى نيويورك تايمز أكثر لأن الجالية اليهودية لن تسمح لهم بحرق الصلبان في حديقتهم,0.0,104.0
89,0,103,Doubt,علاوة على ذلك يصر مكتب التحقيقات الفيدرالي على عدم وجود دافع جهادي بينما يقول إنهم لا يعرفون دوافعه,34124,علاوة على ذلك يصر مكتب التحقيقات الفيدرالي على عدم وجود دافع جهادي بينما يقول إنهم لا يعرفون دوافعه,0.0,99.0
90,0,14,Doubt,هل هم حقيقيون,34126,هل هم حقيقيون,0.0,13.0
91,248,302,Doubt,هذه التناقضات في الحقائق الأساسية تغذي نظريات المؤامرة,34128,استجاب ضباط مترو وضباط أمن ماندالاي باي المسلحين على الفور إلى الطابق يقول البيان إن تعتقد أن بادوك بدأ في إطلاق النار من نافذة غرفته في غضون ثانية من إبلاغ كامبوس عن إطلاق النار عليه وقال لومباردو يوم الجمعة أنا أتفق مع البيان هذه التناقضات في الحقائق الأساسية تغذي نظريات المؤامرة,228.0,282.0
92,84,101,Loaded Language,الاتفاقات الزائفة,34129,من الواضح أن جون كيري لم يتعلم شيئا من إخفاق كوريا الشمالية الذي نتج عن سنوات من الاتفاقات الزائفة مع النظام المارق وما يسمى ب الصبر الاستراتيجي من الواضح أن الولايات المتحدة ليس لديها نفس الخيارات العسكرية اليوم للتعامل مع كوريا الشمالية المسلحة نوويا كما فعلت قبل عاما عندما قرر الرئيس السابق بيل كلينتون عدم استخدام القوة العسكرية للقضاء على برنامج كوريا الشمالية النووي في بدايته,81.0,98.0
93,222,294,Whataboutism,كانت إدارة أوباما هي التي تخلت بتهور عن الحقائق في المضي قدما في الصفقة,34130,والآن بعد أن حاول الرئيس ترامب تنظيف الفوضى التي تركها أوباما وكيري فإن كيري لديه الجرأة على وصف قرار الرئيس ترامب بأنه تخلي متهور عن الحقائق لصالح الأنا والأيديولوجية واتهام إدارة ترامب ب الكذب على الشعب الامريكي كانت إدارة أوباما هي التي تخلت بتهور عن الحقائق في المضي قدما في الصفقة,214.0,285.0
94,14,41,Loaded Language,دعنا نركل العلبة على الطريق,34135,بعبارة أخرى دعنا نركل العلبة على الطريق ونأمل في نظام إيراني أكثر عقلانية خلال عاما يوافق على تمديد الحدود الزمنية,12.0,39.0
95,25,36,Loaded Language,صفقات زائفة,34137,لا تنجح المهادنة من خلال صفقات زائفة مع ديكتاتورية مارقة كما ثبت في ميثاق ميونيخ سيئ السمعة الذي وقعه رئيسا الوزراء البريطاني والفرنسي نيفيل تشامبرلين وإدوارد دالادييه مع المستشار الألماني أدولف هتلر قبل تسعة وسبعين عاما,25.0,36.0
96,40,49,Loaded Language,غير مسبوق,34139,تفشي وباء الطاعون في مدغشقر ينتشر بمعدل غير مسبوق,40.0,49.0
97,26,125,Appeal to fear/prejudice,أصبح احتمال انتقال هذا المرض إلى مناطق أخرى أكثر كثافة سكانية على كوكب الأرض مصدر قلق كبير للكثيرين,34140,مع سهولة انتشار الطاعون أصبح احتمال انتقال هذا المرض إلى مناطق أخرى أكثر كثافة سكانية على كوكب الأرض مصدر قلق كبير للكثيرين,24.0,123.0
98,0,96,Doubt,يبدو أن مجرد وجوده قد اختلقه نفس السلطات التي تحشر حناجرنا حول هذه المذبحة من أجل أجندات سياسية,34143,يبدو أن مجرد وجوده قد اختلقه نفس السلطات التي تحشر حناجرنا حول هذه المذبحة من أجل أجندات سياسية,0.0,95.0
99,0,110,Doubt,لسوء الحظ من المحتمل أيضا في الواقع على الأرجح ألا تترجم كلماته إلى سياسات لتحقيق هذه الأهداف الحاسمة,34152,لسوء الحظ من المحتمل أيضا في الواقع على الأرجح ألا تترجم كلماته إلى سياسات لتحقيق هذه الأهداف الحاسمة,0.0,101.0
100,0,73,Causal Oversimplification,إذا فشلوا فسوف تضيع الاحتمالية التي خلقها ترامب ربما بشكل لا رجوع فيه,34157,إذا فشلوا فسوف تضيع الاحتمالية التي خلقها ترامب ربما بشكل لا رجوع فيه,0.0,69.0
101,26,74,Loaded Language,سلوكها العدواني والمزعزع للاستقرار وغير القانوني,34162,يجب الحكم على إيران بمجمل سلوكها العدواني والمزعزع للاستقرار وغير القانوني,26.0,74.0
102,0,31,Thought-terminating cliché,إنها مباراة مثالية لبعضها البعض,34163,إنها مباراة مثالية لبعضها البعض,0.0,31.0
103,400,422,Loaded Language,غباء الحكومة الأمريكية,34164,في يوليو تموز الماضي حذر اللواء محمد باقري القائد العسكري للحرس الثوري الإيراني ورئيس أركان القوات المسلحة الإيرانية من أن إدراج الحرس الثوري في قوائم الإرهاب مع الجماعات الإرهابية يمكن أن يكون مكلفا للغاية بالنسبة للولايات المتحدة وقواتها القواعد والقوات العسكرية في المنطقة قال قائد الحرس الثوري الإيراني محمد علي جعفري في تشرين الأول أكتوبر إنه إذا كانت الأخبار صحيحة بشأن غباء الحكومة الأمريكية في اعتبار الحرس الثوري جماعة إرهابية فإن الحرس الثوري سيعتبر الجيش الأمريكي مثل تنظيم الدولة الإسلامية في جميع أنحاء العالم,376.0,398.0
104,0,56,Appeal to fear/prejudice,وبالتالي فهو يهدد القوات والقواعد الأمريكية في المنطقة,34169,وبالتالي فهو يهدد القوات والقواعد الأمريكية في المنطقة,0.0,54.0
