id,technique,variation_num,original_text,augmented_text,words_replaced,replacement_ratio,is_taken,need_modify,modified_text,Unnamed: 7,id_taken,Unnamed: 10
1.4e+18,Name calling/Labeling,2,مقامر ومجنون,مقامر مُجنّ,1,50.00%,,0.0,مقامر مُجنّ,,,
1.4e+18,Name calling/Labeling,3,مقامر ومجنون,مُغامر ومجنون,1,50.00%,,0.0,مُغامر ومجنون,,,
1.4e+18,Name calling/Labeling,4,مقامر ومجنون,مُتَكَلِّف مُتَعَوْقِد,2,100.00%,,1.0,مقامر ومختل,,,
1.4e+18,Loaded Language,1,مقامر ومجنون,مُتَبَذِّر ومجنون,1,50.00%,,1.0,مُجازِف مُختلّ,,,
1.4e+18,Loaded Language,2,مقامر ومجنون,مُغامر مُتهَمَر,2,100.00%,,1.0,مقامر مُجنّ,,,
1.4e+18,Loaded Language,3,مقامر ومجنون,مقامر مُتهور,1,50.00%,,0.0,مُغامر ومجنون,,,
1.4e+18,Loaded Language,4,مقامر ومجنون,مقامر مُذبذب,1,50.00%,,0.0,مقامر ومختل,,,
1.4e+18,Loaded Language,1,هجوماً حاداً,إغارة فَتَّاكا,2,100.00%,,0.0,إغارة فَتَّاكة,,,
1.4e+18,Loaded Language,2,هجوماً حاداً,زحفا حادا,1,50.00%,,0.0,زحفا حادا,,,
1.4e+18,Loaded Language,3,هجوماً حاداً,زحفا صَارِما,2,100.00%,,0.0,زحفا صَارِما,,,
1.4e+18,Loaded Language,4,هجوماً حاداً,زحفا مُحْدِدا,2,100.00%,,1.0,إغارة عنيفة,,,
1.39e+18,Appeal to fear/prejudice,1,أعددنا لكم أصنافاً من الموت ستجعلكم تلعنون أنفسكم,جهزنا لكم أصنافا من يبس تَصْنَعُكُمْ هجاء أنفسكم,4,50.00%,1.0,1.0,جهزنا لكم أصنافا من الفناء ستجعلكم تشتمون أنفسكم,,,
1.39e+18,Appeal to fear/prejudice,2,أعددنا لكم أصنافاً من الموت ستجعلكم تلعنون أنفسكم,جهزنا شأنُكُمْ فئات من فساد تَصْنَعُكُمْ تلعنون أنفسكم,5,62.50%,1.0,1.0,أعددنا لكم أنواعا من الموت ستجعلكم تنبذون أنفسكم,,,
1.39e+18,Appeal to fear/prejudice,3,أعددنا لكم أصنافاً من الموت ستجعلكم تلعنون أنفسكم,استعدينا لَكُمْ أصنافا من سَّحْب سَتُجْعِلُكُمْ ذم أنفسكم,5,62.50%,1.0,1.0,استعدينا لَكُمْ أقسامًا من الفناء سَتُجْعِلُكُمْ تلعنون ذاتكم,,,
1.39e+18,Appeal to fear/prejudice,4,أعددنا لكم أصنافاً من الموت ستجعلكم تلعنون أنفسكم,أعددنا لكم أصنافا من سَّحْب تُحَوِّلُكُمْ نبذ أنفسكم,3,37.50%,1.0,1.0,أعددنا لكم درجاتٍ من الموت ستُحَوِّلُكُمْ تطردون أنفسكم,,,
1.39e+18,Loaded Language,1,أصنافاً من الموت ,أجناسًا من موت,1,33.30%,1.0,1.0,أنواعا من الموت,,,
1.39e+18,Loaded Language,2,أصنافاً من الموت ,أصنمة من موت,1,33.30%,1.0,1.0,أصنافا من الفناء,,,
1.39e+18,Loaded Language,3,أصنافاً من الموت ,أقسامًا من فناء,2,66.70%,1.0,1.0,أقسامًا من الفناء,,,
1.39e+18,Loaded Language,4,أصنافاً من الموت ,درجاتٍ من موت,1,33.30%,1.0,1.0,درجاتٍ من الموت,,,
1.39e+18,Exaggeration/Minimisation,1,تلعنون أنفسكم,لعن أنفسكم,1,50.00%,1.0,1.0,تنبذون أنفسكم,,,
1.39e+18,Exaggeration/Minimisation,2,تلعنون أنفسكم,لعق أنفسكم,1,50.00%,1.0,1.0,تشتمون أنفسكم,,,
1.39e+18,Exaggeration/Minimisation,3,تلعنون أنفسكم,شتم أنفسكم,1,50.00%,1.0,1.0,تلعنون ذاتكم,,,
1.39e+18,Exaggeration/Minimisation,4,تلعنون أنفسكم,طرد أنفسكم,1,50.00%,1.0,1.0,تطردون أنفسكم,,,
1.39e+18,Name calling/Labeling,1, للصهاينة,الصهيونيين,1,100.00%,,1.0,للصهيونيين,,,
1.39e+18,Name calling/Labeling,2, للصهاينة,الإسرائيليين,1,100.00%,,1.0,للإسرائيليين,,,
1.39e+18,Name calling/Labeling,3, للصهاينة,الأعداء,1,100.00%,,1.0,للأعداء,,,
1.39e+18,Name calling/Labeling,4, للصهاينة,الغاصبين,1,100.00%,,1.0,للغاصبين,,,
1.4e+18,Loaded Language,1,فيديو صادم,لقطات مصورة صادم,1,33.30%,,1.0,لقطات مصورة صادمة,,,
1.4e+18,Loaded Language,2,فيديو صادم,شريط سينمائي مُثبط,2,66.70%,,0.0,شريط سينمائي مُثبط,,,
1.4e+18,Loaded Language,3,فيديو صادم,فيديو مُذهِب للعقول,1,33.30%,,0.0,فيديو مُذهِب للعقول,,,
1.4e+18,Loaded Language,4,فيديو صادم,شريط سينمائي صادم,1,33.30%,,0.0,شريط سينمائي صادم,,,
1.4e+18,Loaded Language,5,فيديو صادم,فيديو مُثبط,1,50.00%,,0.0,فيديو مُثبط,,,
1.4e+18,Loaded Language,1,هجوم مرعب,هجوم مُبَهر,1,50.00%,,0.0,هجوم مُبَهر,,,
1.4e+18,Loaded Language,2,هجوم مرعب,هجومٌ مباغت مرعب,1,33.30%,,0.0,هجومٌ مباغت مرعب,,,
1.4e+18,Loaded Language,3,هجوم مرعب,اقتحاميّة مرعب,1,50.00%,,1.0,اقتحام مرعب,,,
1.4e+18,Loaded Language,4,هجوم مرعب,اقتحاميّة مروع,2,100.00%,,1.0,اقتحام مروع,,,
1.36e+18,Name calling/Labeling,3,مغالطات وزير خارجية المغرب,مراوحات وزير عامة مَغْربُ,3,75.00%,,1.0,تلبيس وزير خارجية المغرب,,,
1.36e+18,Name calling/Labeling,4,مغالطات وزير خارجية المغرب,مراوحات وزير علنية غروب,3,75.00%,,1.0,تمويهات وزير خارجية المغرب,,,
1.36e+18,Name calling/Labeling,5,مغالطات وزير خارجية المغرب,مغالطات وزير خارجية غروب,1,25.00%,,1.0,اخطاء وزير خارجية المغرب,,,
1.36e+18,Appeal to fear/prejudice,1,ستؤدي بالمملكة للهاوية,سَتُؤَدِّي داخل حدود هاوية,3,75.00%,1.0,0.0,سوف تؤدي بالبلاد للهلاك,,,
1.36e+18,Appeal to fear/prejudice,2,ستؤدي بالمملكة للهاوية,سَتُحْدِثُ بالمملكة غَيْبوبة,2,66.70%,1.0,0.0,سوف تصل بالمملكة للهوة السحيقة,,,
1.36e+18,Appeal to fear/prejudice,3,ستؤدي بالمملكة للهاوية,سَتُنَفِّذُ بالمملكة بُعْد,2,66.70%,1.0,1.0,ستقود المملكة للجحيم,,,
1.36e+18,Appeal to fear/prejudice,4,ستؤدي بالمملكة للهاوية,سَتُؤَوِّلُ رسميًا سُحْق,3,100.00%,1.0,1.0,ستؤدي بالمملكة للهلاك,,,
1.36e+18,Exaggeration/Minimisation,2,ستؤدي بالمملكة للهاوية,سَتُنَفِّذُ محليًا بَيْداء,3,100.00%,1.0,1.0,سوف تؤدي بالبلاد للهلاك,,,
1.36e+18,Exaggeration/Minimisation,3,ستؤدي بالمملكة للهاوية,تَصِلُ بالمملكة للهاوية,1,33.30%,1.0,1.0,سوف تصل بالمملكة للهوة السحيقة,,,
1.36e+18,Exaggeration/Minimisation,4,ستؤدي بالمملكة للهاوية,سَتُنَفِّذُ في دولة للهاوية,2,50.00%,1.0,1.0,ستقود المملكة للجحيم,,,
1.36e+18,Exaggeration/Minimisation,5,ستؤدي بالمملكة للهاوية,تُحَقِّقُ هَدَفَ بالمملكة جُب,2,50.00%,1.0,1.0,ستؤدي بالمملكة للهلاك,,,
1.36e+18,Loaded Language,1,للهاوية,هوة سحيقة,1,50.00%,1.0,1.0,للهوة السحيقة,,,
1.36e+18,Loaded Language,3,للهاوية,غَبْرَة,1,100.00%,1.0,1.0,للهلاك,,,
1.36e+18,Loaded Language,4,للهاوية,غَوْر,1,100.00%,1.0,1.0,للجحيم,,,
1.36e+18,Name calling/Labeling,1,للاحتلال ,الاستحواذ,1,100.00%,,1.0,للاستحواذ,,,
1.36e+18,Name calling/Labeling,2,للاحتلال ,الاستعباد,1,100.00%,,1.0,للاستعباد,,,
1.36e+18,Name calling/Labeling,3,للاحتلال ,الاستيلاء,1,100.00%,,1.0,للاستيلاء,,,
1.36e+18,Name calling/Labeling,4,للاحتلال ,الإخضاع,1,100.00%,,1.0,للإخضاع,,,
1.36e+18,Name calling/Labeling,6,للاحتلال ,الهيمنة,1,100.00%,,1.0,للهيمنة,,,
1.39e+18,Loaded Language,1,ليلة من الجحيم,قَمر من عذاب,2,66.70%,,1.0,ليلة من العذاب,,,
1.39e+18,Loaded Language,3,ليلة من الجحيم,ليلة من ويل,1,33.30%,,1.0,ليلة من الويل,,,
1.39e+18,Loaded Language,1,لا حياد مع الكيان الصهيوني,لا موقف محايد مع هيئة عنصري,3,50.00%,,1.0,لا موقف محايد مع الوجود الصهيوني,,,
1.39e+18,Loaded Language,2,لا حياد مع الكيان الصهيوني,لا حياد مع كيان زُعراني,1,20.00%,,1.0,لا حياد مع الكيان الإسرائيلي,,,
1.39e+18,Loaded Language,3,لا حياد مع الكيان الصهيوني,لا عدم انحياز مع كيان يهودي,2,33.30%,,1.0,لا يوجد عدم انحياز مع كيان يهودي,,,
1.39e+18,Loaded Language,4,لا حياد مع الكيان الصهيوني,لا حياد مع هيئة صهيوني,1,20.00%,,1.0,لا حياد مع الهيئة الصهيونية,,,
1.39e+18,Loaded Language,5,لا حياد مع الكيان الصهيوني,لا حياد مع إِطْراد يهودي,2,40.00%,,1.0,لا حياد مع الوجود اليهودي,,,
1.39e+18,Name calling/Labeling,1,الكيان الصهيوني,الذات يهودي,2,100.00%,,1.0,الكيان الإسرائيلي,,,
1.39e+18,Name calling/Labeling,2,الكيان الصهيوني,الماهية زَبْنُوق,2,100.00%,,1.0,الوجود الصهيوني,,,
1.39e+18,Name calling/Labeling,3,الكيان الصهيوني,الحقيقة يهودي,2,100.00%,,1.0,كيان يهودي,,,
1.39e+18,Name calling/Labeling,4,الكيان الصهيوني,الواقع زَبْنُقِيٌّ,2,100.00%,,1.0,الهيئة الصهيونية,,,
1.39e+18,Name calling/Labeling,5,الكيان الصهيوني,الجوهر صهيوني,1,50.00%,,1.0,الوجود اليهودي,,,
1.39e+18,Name calling/Labeling,1,العدو المجرم,المُعادِي مجرم,1,50.00%,,1.0,المُعادِي المجرم,,,
1.39e+18,Name calling/Labeling,2,العدو المجرم,المُعادِي مُخالِف,2,100.00%,,1.0,المُعادِي المُخالِف للقانون,,,
1.39e+18,Name calling/Labeling,3,العدو المجرم,المضاد مُذنِب,2,100.00%,,1.0,العدو المُذنِب,,,
1.39e+18,Name calling/Labeling,4,العدو المجرم,المُعادِي عَتّاب,2,100.00%,,1.0,الغير صديق القاتل,,,
1.39e+18,Name calling/Labeling,5,العدو المجرم,العدو مُخالِف,1,50.00%,,1.0,العدو المُخالِف,,,
1.39e+18,Loaded Language,1,العدو المجرم,المناوئ مُخالف,2,100.00%,,1.0,المُعادِي المجرم,,,
1.39e+18,Loaded Language,2,العدو المجرم,العدو خاطئ,1,50.00%,,1.0,المُعادِي المُخالِف للقانون,,,
1.39e+18,Loaded Language,3,العدو المجرم,المُحارب مُجرِم,2,100.00%,,1.0,العدو المُذنِب,,,
1.39e+18,Loaded Language,4,العدو المجرم,المباغض مجرم,1,50.00%,,1.0,الغير صديق القاتل,,,
1.39e+18,Loaded Language,5,العدو المجرم,الخصيان ضال,2,100.00%,,1.0,العدو المُخالِف,,,
1.39e+18,Repetition,1,المقاومة ثم المقاومة ثم المقاومة,التصدي ثم تصدي ثم مقاومة,2,40.00%,1.0,1.0,التصدي ثم التصدي ثم التصدي,,,
1.39e+18,Repetition,2,المقاومة ثم المقاومة ثم المقاومة,الممانعة ثم مناعة ثم حصانة,3,60.00%,1.0,1.0,الممانعة ثم الممانعة ثم الممانعة,,,
1.39e+18,Repetition,3,المقاومة ثم المقاومة ثم المقاومة,المقاومة ثم مجابهة ثم مقاومة,1,20.00%,1.0,1.0,المجابهة ثم المجابهة ثم المجابهة,,,
1.39e+18,Repetition,4,المقاومة ثم المقاومة ثم المقاومة,المجابهة ثم مقاومة ثم مقاومة,1,20.00%,1.0,1.0,المواجهة ثم المواجهة ثم المواجهة,,,
1.39e+18,Repetition,5,المقاومة ثم المقاومة ثم المقاومة,الثبات ثم مقاومة ثم رباطة,2,40.00%,1.0,1.0,الثبات ثم الثبات ثم الثبات,,,
1.39e+18,Repetition,6,المقاومة ثم المقاومة ثم المقاومة,التصدي ثم مواجهة ثم حصانة,3,60.00%,1.0,1.0,الصمود ثم الصمود ثم الصمود,,,
1.39e+18,Loaded Language,1,تسليم رقابنا,تذعن هَوامُّنا,2,100.00%,,1.0,تذعن أعناقنا,,,
1.39e+18,Loaded Language,2,تسليم رقابنا,تسليم هَوامُّنا,1,50.00%,,0.0,تسليم هَوامُّنا,,,
1.39e+18,Loaded Language,3,تسليم رقابنا,استسلام رقابنا,1,50.00%,,0.0,استسلام رقابنا,,,
1.39e+18,Loaded Language,4,تسليم رقابنا,خضوع أَعْناقُنا,2,100.00%,,0.0,خضوع أَعْناقُنا,,,
1.39e+18,Loaded Language,5,تسليم رقابنا,انقياد مَجامِعُنا,2,100.00%,,0.0,انقياد مَجامِعُنا,,,
1.39e+18,Loaded Language,1,الإجرامية غير الإنسانية,الإجرامية غير رأفة,1,33.30%,,1.0,الإجرامية غير الرأفة,,,
1.39e+18,Loaded Language,2,الإجرامية غير الإنسانية,الخارجة على قانون غير إنسانية,1,20.00%,,1.0,الخارجة على قانون غير الإنسانية,,,
1.39e+18,Loaded Language,3,الإجرامية غير الإنسانية,الخبيثة غير رأفة,2,66.70%,,1.0,الخبيثة غير الرأفة,,,
1.39e+18,Loaded Language,4,الإجرامية غير الإنسانية,الجنائية غير انسجام,2,66.70%,,1.0,الجنائية المتوحشة,,,
1.39e+18,Name calling/Labeling,1,لممارسات إسرائيل,الممارسات أُورُشَلِيمُ,2,100.00%,,1.0,لممارسات الصهيونية,,,
1.39e+18,Name calling/Labeling,2,لممارسات إسرائيل,التدابير صِهْيَوْنُ,2,100.00%,,1.0,لتدابير صِهْيَوْنُ,,,
1.39e+18,Name calling/Labeling,3,لممارسات إسرائيل,الخطوات إسرائيل,1,50.00%,,1.0,لخطوات إسرائيل,,,
1.39e+18,Name calling/Labeling,4,لممارسات إسرائيل,الخطوات عملية أَرْضُ الْمَوْعِدِ,2,50.00%,,1.0,لأفعال الصهيونية,,,
1.39e+18,Name calling/Labeling,5,لممارسات إسرائيل,التدابير حَبْرُونُ,2,100.00%,,1.0,لأفعال إسرائيل,,,
1.39e+18,Name calling/Labeling,5,لممارسات إسرائيل,التدابير حَبْرُونُ,2,100.00%,,1.0,لخطوات إسرائيل,,,
1.39e+18,Name calling/Labeling,1,"لممارسات إسرائيل ""الإجرامية غير الإنسانية""",لممارسات إسرائيل مُستَنكَرة غير إنسانية,1,20.00%,,1.0,لممارسات الصهيونية الجنائية غير إنسانية,,,
1.39e+18,Name calling/Labeling,2,"لممارسات إسرائيل ""الإجرامية غير الإنسانية""",لممارسات إسرائيل مُستَنكَرة غير رأفة,2,40.00%,,1.0,لخطوات إسرائيل الخارجة عن القانون غير رأفة,,,
1.39e+18,Name calling/Labeling,3,"لممارسات إسرائيل ""الإجرامية غير الإنسانية""",السلوكيات كَنْعَانُ مُدانة غير رأفة,4,80.00%,,1.0,لتدابير صهيون المُدانة غير رأفة,,,
1.39e+18,Name calling/Labeling,4,"لممارسات إسرائيل ""الإجرامية غير الإنسانية""",الممارسات إسرائيل إجرامية غير خير,2,40.00%,,1.0,لأفعال الصهيونية الإجرامية غير الأخلاقية,,,
1.39e+18,Name calling/Labeling,5,"لممارسات إسرائيل ""الإجرامية غير الإنسانية""",التقاليد إسرائيل إثمية غير عطاء,3,60.00%,,1.0,لخطوات إسرائيل الآثمة غير البشرية,,,
1.39e+18,Name calling/Labeling,6,"لممارسات إسرائيل ""الإجرامية غير الإنسانية""",التطبيقات يَهُوذَا مُنكَرة غير إنسانية,3,60.00%,,1.0,لأفعال إسرائيل المُنكَرة غير الإنسانية,,,
1.39e+18,Loaded Language,1,أثر خطير,أثرٌ جَلَل,2,100.00%,1.0,0.0,أثرٌ جَلَل,,,
1.39e+18,Loaded Language,2,أثر خطير,أثر خَارِق,1,50.00%,1.0,1.0,أثر جسيم,,,
1.39e+18,Loaded Language,3,أثر خطير,أثر كَبِير,1,50.00%,1.0,0.0,أثر كَبِير,,,
1.39e+18,Loaded Language,4,أثر خطير,رَجْف هَامّ,2,100.00%,1.0,1.0,تأثير هَامّ,,,
1.39e+18,Loaded Language,4,أثر خطير,رَجْف هَامّ,2,100.00%,1.0,1.0,وقع خطير,,,
1.39e+18,Appeal to fear/prejudice,1,أثر خطير على شعبنا الفلسطيني ,أثر مُهِم على قومنا فلسطيني,2,40.00%,1.0,1.0,أثرٌ جَلَل على قومنا الفلسطيني,,,
1.39e+18,Appeal to fear/prejudice,2,أثر خطير على شعبنا الفلسطيني ,أثر جَسِيم على شعبنا رَحْنِيّ,2,40.00%,1.0,1.0,أثر جَسِيم على الرعية الفلسطينية,,,
1.39e+18,Appeal to fear/prejudice,3,أثر خطير على شعبنا الفلسطيني ,أثرٌ خفيّ مُعَظَّم على شعبنا فلسطيني,2,33.30%,1.0,1.0,أثرٌ كبير على المجتمع الفلسطيني,,,
1.39e+18,Appeal to fear/prejudice,4,أثر خطير على شعبنا الفلسطيني ,رَجَز خطير على أهالينا سَلَامِيّ,3,60.00%,1.0,1.0,تأثير هام على أهالينا الفلسطينية,,,
1.39e+18,Appeal to fear/prejudice,5,أثر خطير على شعبنا الفلسطيني ,وقع خطير على شعبنا أصيل فلسطيني,2,33.30%,1.0,1.0,وقع خطير على الجمهور الفِلَسْطِينُي,,,
1.39e+18,Loaded Language,1,شعبنا الفلسطيني,الرعية فلسطيني,1,50.00%,1.0,1.0,الرعية الفلسطينية,,,
1.39e+18,Loaded Language,2,شعبنا الفلسطيني,شعبنا مُقِيمٌ بِفِلَسْطِينَ,1,33.30%,1.0,1.0,قومنا الفلسطيني,,,
1.39e+18,Loaded Language,3,شعبنا الفلسطيني,المجتمع غَزَّاوِيٌّ,2,100.00%,1.0,1.0,المجتمع الفلسطيني,,,
1.39e+18,Loaded Language,4,شعبنا الفلسطيني,الجمهور فِلَسْطِينُوِيٌّ,2,100.00%,1.0,1.0,الجمهور الفِلَسْطِينُي,,,
1.39e+18,Loaded Language,5,شعبنا الفلسطيني,شعبنا غَزَّاوِيٌّ,1,50.00%,1.0,1.0,أهالينا الفلسطينية,,,
1.39e+18,Loaded Language,1,وإيمانه بالاحتكام للعملية الديموقراطية,إيمانه به بالاحتكام للعملية ديمقراطية,2,40.00%,,1.0,وإيمانه بالرجوع للعملية الديمقراطية,,,
1.39e+18,Loaded Language,2,وإيمانه بالاحتكام للعملية الديموقراطية,وإيمانه الْفَيْصَلُ للعملية ديموقراطية,1,25.00%,,1.0,وإيمانه الْفَيْصَلُ للعملية الديموقراطية,,,
1.39e+18,Loaded Language,3,وإيمانه بالاحتكام للعملية الديموقراطية,إيمانه به الْبَتُّ فاعلة ديموقراطية,3,60.00%,,1.0,واعتقاده بالاحتكام للديموقراطية,,,
1.39e+18,Loaded Language,4,وإيمانه بالاحتكام للعملية الديموقراطية,اعتقاده الْقَضَاءُ إجرائية حكم شعب,4,80.00%,,1.0,واعتقاده بالاحتكام لحكم الشعب,,,
9.52e+17,Exaggeration/Minimisation,1,رغم الشيطنة والإيقافات,غَيْرَ أَنَّ تحقير تعليقات,3,75.00%,1.0,1.0,غصب عن الشيطنة والإيقافات,,,
9.52e+17,Exaggeration/Minimisation,2,رغم الشيطنة والإيقافات,رَغْمًا إساءة تعليقات,3,100.00%,1.0,1.0,حتى مع الشر والاعتقالات,,,
9.52e+17,Exaggeration/Minimisation,3,رغم الشيطنة والإيقافات,رغم تلطيخ تعطيلات,2,66.70%,1.0,1.0,برغم الإيقافات والتدليس,,,
9.52e+17,Exaggeration/Minimisation,4,رغم الشيطنة والإيقافات,رغم تشويه والإيقافات,1,33.30%,1.0,1.0,رغم التشويه والإيقافات,,,
9.52e+17,Smears,1,رغم الشيطنة والإيقافات، حملة #فاش_نستناو مستمرّة,رَغْمَاءَ شيطنة توقيفات مسيرة مُستسلم نستناو مستمرة,4,57.10%,1.0,1.0,غصب عن الشيطنة والإيقافات حملة فاش نستناو مستمرة,,,
9.52e+17,Smears,2,رغم الشيطنة والإيقافات، حملة #فاش_نستناو مستمرّة,رَغْمَا تلطيخ والإيقافات، حملة فاش ارتقب متوالية,4,57.10%,1.0,1.0,برغم الإيقافات والتدليس حملة فاش نستناو مستمرة,,,
