,Unnamed: 0,start,end,technique,text,full_text,id,start_new,end_new,augmented_text,augmented_full_text
30,30,52,64,Loaded Language,تسليم رقابنا,لا حياد مع الكيان الصهيوني الحياد يعني تسليم رقابنا لهذا العدو المجرم المقاومة ثم المقاومة ثم المقاومة وهلق شو,1394010173098893317,39.0,51.0,تسليم رقابنا,لا حياد مع الكيان الصهيوني الحياد يعني تسليم رقابنا لهذا العدو المجرم المقاومة ثم المقاومة ثم المقاومة وهلق شو
31,31,81,104,Loaded Language,الإجرامية غير الإنسانية,رؤساء البرلمانات العربية يطالبون بتدخل دولي عاجل لوضع حد نهائي لممارسات إسرائيل الإجرامية غير الإنسانية,1392575259711266821,80.0,103.0,الإجرامية غير الإنسانية,رؤساء البرلمانات العربية يطالبون بتدخل دولي عاجل لوضع حد نهائي لممارسات إسرائيل الإجرامية غير الإنسانية
32,32,63,79,Name calling/Labeling,لممارسات إسرائيل,رؤساء البرلمانات العربية يطالبون بتدخل دولي عاجل لوضع حد نهائي لممارسات إسرائيل الإجرامية غير الإنسانية,1392575259711266821,63.0,79.0,لممارسات إسرائيل,رؤساء البرلمانات العربية يطالبون بتدخل دولي عاجل لوضع حد نهائي لممارسات إسرائيل الإجرامية غير الإنسانية
33,33,63,105,Name calling/Labeling,لممارسات إسرائيل الإجرامية غير الإنسانية,رؤساء البرلمانات العربية يطالبون بتدخل دولي عاجل لوضع حد نهائي لممارسات إسرائيل الإجرامية غير الإنسانية,1392575259711266821,63.0,103.0,لممارسات إسرائيل الإجرامية غير الإنسانية,رؤساء البرلمانات العربية يطالبون بتدخل دولي عاجل لوضع حد نهائي لممارسات إسرائيل الإجرامية غير الإنسانية
34,34,73,81,Loaded Language,أثر خطير,الهيئة القيادية العليا لأسرى حماس تأجيل أو إلغاء الانتخابات سيكون له أثر خطير على شعبنا الفلسطيني وإيمانه بالاحتكام للعملية الديموقراطية,1386216744117735425,69.0,77.0,أثر خطير,الهيئة القيادية العليا لأسرى حماس تأجيل أو إلغاء الانتخابات سيكون له أثر خطير على شعبنا الفلسطيني وإيمانه بالاحتكام للعملية الديموقراطية
35,35,73,102,Appeal to fear/prejudice,أثر خطير على شعبنا الفلسطيني,الهيئة القيادية العليا لأسرى حماس تأجيل أو إلغاء الانتخابات سيكون له أثر خطير على شعبنا الفلسطيني وإيمانه بالاحتكام للعملية الديموقراطية,1386216744117735425,69.0,97.0,أثر خطير على شعبنا الفلسطيني,الهيئة القيادية العليا لأسرى حماس تأجيل أو إلغاء الانتخابات سيكون له أثر خطير على شعبنا الفلسطيني وإيمانه بالاحتكام للعملية الديموقراطية
36,36,86,101,Loaded Language,شعبنا الفلسطيني,الهيئة القيادية العليا لأسرى حماس تأجيل أو إلغاء الانتخابات سيكون له أثر خطير على شعبنا الفلسطيني وإيمانه بالاحتكام للعملية الديموقراطية,1386216744117735425,82.0,97.0,شعبنا الفلسطيني,الهيئة القيادية العليا لأسرى حماس تأجيل أو إلغاء الانتخابات سيكون له أثر خطير على شعبنا الفلسطيني وإيمانه بالاحتكام للعملية الديموقراطية
37,37,102,140,Loaded Language,وإيمانه بالاحتكام للعملية الديموقراطية,الهيئة القيادية العليا لأسرى حماس تأجيل أو إلغاء الانتخابات سيكون له أثر خطير على شعبنا الفلسطيني وإيمانه بالاحتكام للعملية الديموقراطية,1386216744117735425,98.0,136.0,وإيمانه بالاحتكام للعملية الديموقراطية,الهيئة القيادية العليا لأسرى حماس تأجيل أو إلغاء الانتخابات سيكون له أثر خطير على شعبنا الفلسطيني وإيمانه بالاحتكام للعملية الديموقراطية
38,38,0,22,Exaggeration/Minimisation,رغم الشيطنة والإيقافات,رغم الشيطنة والإيقافات حملة فاش نستناو مستمرة,951906850160742402,0.0,22.0,رغم الشيطنة والإيقافات,رغم الشيطنة والإيقافات حملة فاش نستناو مستمرة
39,39,0,48,Smears,رغم الشيطنة والإيقافات حملة فاش نستناو مستمرة,رغم الشيطنة والإيقافات حملة فاش نستناو مستمرة,951906850160742402,0.0,45.0,رغم الشيطنة والإيقافات حملة فاش نستناو مستمرة,رغم الشيطنة والإيقافات حملة فاش نستناو مستمرة
40,40,4,11,Loaded Language,الشيطنة,رغم الشيطنة والإيقافات حملة فاش نستناو مستمرة,951906850160742402,4.0,11.0,الشيطنة,رغم الشيطنة والإيقافات حملة فاش نستناو مستمرة
41,41,1,19,Doubt,عين اليمن من انتصر,عين اليمن من انتصر ومن تقهقر في معركة كسر العظم بصرواح الحقيقة كاملة,1244219652357709824,0.0,18.0,عين اليمن من انتصر,عين اليمن من انتصر ومن تقهقر في معركة كسر العظم بصرواح الحقيقة كاملة
42,42,25,30,Loaded Language,تقهقر,عين اليمن من انتصر ومن تقهقر في معركة كسر العظم بصرواح الحقيقة كاملة,1244219652357709824,23.0,28.0,تقهقر,عين اليمن من انتصر ومن تقهقر في معركة كسر العظم بصرواح الحقيقة كاملة
43,43,34,49,Loaded Language,معركة كسر العظم,عين اليمن من انتصر ومن تقهقر في معركة كسر العظم بصرواح الحقيقة كاملة,1244219652357709824,32.0,47.0,معركة كسر العظم,عين اليمن من انتصر ومن تقهقر في معركة كسر العظم بصرواح الحقيقة كاملة
44,44,40,57,Doubt,كسر العظم بصرواح,عين اليمن من انتصر ومن تقهقر في معركة كسر العظم بصرواح الحقيقة كاملة,1244219652357709824,38.0,54.0,كسر العظم بصرواح,عين اليمن من انتصر ومن تقهقر في معركة كسر العظم بصرواح الحقيقة كاملة
45,45,22,34,Loaded Language,بانتصار ثمين,المنتخب الألماني يعود بانتصار ثمين في تصفيات المونديال,1376601413577498625,22.0,34.0,بانتصار ثمين,المنتخب الألماني يعود بانتصار ثمين في تصفيات المونديال
46,46,0,37,Slogans,إدفنوا شهداءكم إنهضوا وتيقظوا,إدفنوا شهداءكم إنهضوا وتيقظوا كتب محمد خروب,1396224622836785155,0.0,29.0,إدفنوا شهداءكم إنهضوا وتيقظوا,إدفنوا شهداءكم إنهضوا وتيقظوا كتب محمد خروب
47,47,7,15,Loaded Language,شهداءكم,إدفنوا شهداءكم إنهضوا وتيقظوا كتب محمد خروب,1396224622836785155,7.0,14.0,شهداءكم,إدفنوا شهداءكم إنهضوا وتيقظوا كتب محمد خروب
48,48,7,15,Name calling/Labeling,شهداءكم,إدفنوا شهداءكم إنهضوا وتيقظوا كتب محمد خروب,1396224622836785155,7.0,14.0,شهداءكم,إدفنوا شهداءكم إنهضوا وتيقظوا كتب محمد خروب
49,49,2,17,Name calling/Labeling,الفلاحين الصغار,الفلاحين الصغار في أولاد جاب الله و ملولش إنتفاضة علف الكرامة,1364302385250787328,0.0,15.0,الفلاحين الصغار,الفلاحين الصغار في أولاد جاب الله و ملولش إنتفاضة علف الكرامة
50,50,47,54,Loaded Language,إنتفاضة,الفلاحين الصغار في أولاد جاب الله و ملولش إنتفاضة علف الكرامة,1364302385250787328,42.0,49.0,إنتفاضة,الفلاحين الصغار في أولاد جاب الله و ملولش إنتفاضة علف الكرامة
51,51,0,0,no technique,,قهوة الصباح قصيدة في حب الوطن نوف بنت خلفان البريكية,1325345970981318656,0.0,0.0,,قهوة الصباح قصيدة في حب الوطن نوف بنت خلفان البريكية
52,52,25,35,Loaded Language,انفجار,عاجل القناة العبرية انفجار طائرة دون طيار مفخخة في سماء إحدى مستوطنات غلاف غزة,1392812816961314816,20.0,26.0,انفجار,عاجل القناة العبرية انفجار طائرة دون طيار مفخخة في سماء إحدى مستوطنات غلاف غزة
53,53,51,60,Loaded Language,مفخخة,عاجل القناة العبرية انفجار طائرة دون طيار مفخخة في سماء إحدى مستوطنات غلاف غزة,1392812816961314816,42.0,47.0,مفخخة,عاجل القناة العبرية انفجار طائرة دون طيار مفخخة في سماء إحدى مستوطنات غلاف غزة
54,54,74,85,Name calling/Labeling,مستوطنات,عاجل القناة العبرية انفجار طائرة دون طيار مفخخة في سماء إحدى مستوطنات غلاف غزة,1392812816961314816,61.0,69.0,مستوطنات,عاجل القناة العبرية انفجار طائرة دون طيار مفخخة في سماء إحدى مستوطنات غلاف غزة
55,55,13,113,Doubt,من الجمهوريين يعتقدون أن ترمب الرئيس الحقيقي للولايات المتحدة و لديهم يقين بسرقة الانتخابات,استطلاع رأي من الجمهوريين يعتقدون أن ترمب الرئيس الحقيقي للولايات المتحدة و لديهم يقين بسرقة الانتخابات العربية,1397371686606020608,12.0,103.0,من الجمهوريين يعتقدون أن ترمب الرئيس الحقيقي للولايات المتحدة و لديهم يقين بسرقة الانتخابات,استطلاع رأي من الجمهوريين يعتقدون أن ترمب الرئيس الحقيقي للولايات المتحدة و لديهم يقين بسرقة الانتخابات العربية
56,56,97,113,Loaded Language,بسرقة الانتخابات,استطلاع رأي من الجمهوريين يعتقدون أن ترمب الرئيس الحقيقي للولايات المتحدة و لديهم يقين بسرقة الانتخابات العربية,1397371686606020608,87.0,103.0,بسرقة الانتخابات,استطلاع رأي من الجمهوريين يعتقدون أن ترمب الرئيس الحقيقي للولايات المتحدة و لديهم يقين بسرقة الانتخابات العربية
57,57,47,61,Name calling/Labeling,الرئيس الحقيقي,استطلاع رأي من الجمهوريين يعتقدون أن ترمب الرئيس الحقيقي للولايات المتحدة و لديهم يقين بسرقة الانتخابات العربية,1397371686606020608,42.0,56.0,الرئيس الحقيقي,استطلاع رأي من الجمهوريين يعتقدون أن ترمب الرئيس الحقيقي للولايات المتحدة و لديهم يقين بسرقة الانتخابات العربية
58,58,0,0,no technique,,الوصال ما هو معدل عمر الحوت الأحدب السؤال ل هنية الهادية فريق حواء برنامج المسابقات حواء الاولى وادم الاول,1384110098289594370,0.0,0.0,,الوصال ما هو معدل عمر الحوت الأحدب السؤال ل هنية الهادية فريق حواء برنامج المسابقات حواء الاولى وادم الاول
59,59,49,60,Loaded Language,بعمق الأزمة,زهير المغزاوي ما لمسته انو رئيس الجمهورية شاعر بعمق الأزمة و هو بصدد القيام بالعديد من اللقاءات من أجل إيجاد حلول,1329035990908989441,47.0,58.0,بعمق الأزمة,زهير المغزاوي ما لمسته انو رئيس الجمهورية شاعر بعمق الأزمة و هو بصدد القيام بالعديد من اللقاءات من أجل إيجاد حلول
60,60,0,0,no technique,,قرادة لرئيس حكومة الوحدة الوطنية لن أخاتلك تربصا ولن أجاملك طمعا عين ليبيا,1374002150620213249,0.0,0.0,,قرادة لرئيس حكومة الوحدة الوطنية لن أخاتلك تربصا ولن أجاملك طمعا عين ليبيا
61,61,27,46,Loaded Language,الاعتداءات الوحشية,عاجل الرئاسة الفلسطينية الاعتداءات الوحشية لقوات الاحتلال في المسجد الأقصى هي تحد جديد للمجتمع الدولي,1391689686545010689,24.0,42.0,الاعتداءات الوحشية,عاجل الرئاسة الفلسطينية الاعتداءات الوحشية لقوات الاحتلال في المسجد الأقصى هي تحد جديد للمجتمع الدولي
62,62,28,106,Appeal to fear/prejudice,الاعتداءات الوحشية لقوات الاحتلال في المسجد الأقصى هي تحد جديد للمجتمع الدولي,عاجل الرئاسة الفلسطينية الاعتداءات الوحشية لقوات الاحتلال في المسجد الأقصى هي تحد جديد للمجتمع الدولي,1391689686545010689,24.0,101.0,الاعتداءات الوحشية لقوات الاحتلال في المسجد الأقصى هي تحد جديد للمجتمع الدولي,عاجل الرئاسة الفلسطينية الاعتداءات الوحشية لقوات الاحتلال في المسجد الأقصى هي تحد جديد للمجتمع الدولي
63,63,47,61,Name calling/Labeling,لقوات الاحتلال,عاجل الرئاسة الفلسطينية الاعتداءات الوحشية لقوات الاحتلال في المسجد الأقصى هي تحد جديد للمجتمع الدولي,1391689686545010689,43.0,57.0,لقوات الاحتلال,عاجل الرئاسة الفلسطينية الاعتداءات الوحشية لقوات الاحتلال في المسجد الأقصى هي تحد جديد للمجتمع الدولي
64,64,34,45,Loaded Language,تنتقد تطبيع,الإمارات الشيخة جواهر القاسمي تنتقد تطبيع التعليم مع إسرائيل مناهجهم توصي بقتل واغتصاب أرض العربي,1355179141608443904,30.0,41.0,تنتقد تطبيع,الإمارات الشيخة جواهر القاسمي تنتقد تطبيع التعليم مع إسرائيل مناهجهم توصي بقتل واغتصاب أرض العربي
65,65,81,94,Loaded Language,بقتل واغتصاب,الإمارات الشيخة جواهر القاسمي تنتقد تطبيع التعليم مع إسرائيل مناهجهم توصي بقتل واغتصاب أرض العربي,1355179141608443904,74.0,86.0,بقتل واغتصاب,الإمارات الشيخة جواهر القاسمي تنتقد تطبيع التعليم مع إسرائيل مناهجهم توصي بقتل واغتصاب أرض العربي
66,66,68,104,Smears,مناهجهم توصي بقتل واغتصاب أرض العربي,الإمارات الشيخة جواهر القاسمي تنتقد تطبيع التعليم مع إسرائيل مناهجهم توصي بقتل واغتصاب أرض العربي,1355179141608443904,61.0,97.0,مناهجهم توصي بقتل واغتصاب أرض العربي,الإمارات الشيخة جواهر القاسمي تنتقد تطبيع التعليم مع إسرائيل مناهجهم توصي بقتل واغتصاب أرض العربي
67,67,51,95,Loaded Language,القدس التي ستبقى عاصمة أبدية وموحدة لإسرائيل,نتنياهو نرفض كل الضغوط لمنع حكومتنا من البناء في القدس التي ستبقى عاصمة أبدية وموحدة لإسرائيل الأخبار,1391422717509971970,49.0,93.0,القدس التي ستبقى عاصمة أبدية وموحدة لإسرائيل,نتنياهو نرفض كل الضغوط لمنع حكومتنا من البناء في القدس التي ستبقى عاصمة أبدية وموحدة لإسرائيل الأخبار
68,68,0,0,no technique,,الإعلامي سلام مليك وراء القضبان أرشيف نواة مقتطفات من تدخل الإعلامي,863107976848171009,0.0,0.0,,الإعلامي سلام مليك وراء القضبان أرشيف نواة مقتطفات من تدخل الإعلامي
69,69,0,9,Loaded Language,بيان ناري,بيان ناري لسائرون ضد شركائها في البرلمان بعد فشل تمرير الموازنة,1376416027882491906,0.0,9.0,بيان ناري,بيان ناري لسائرون ضد شركائها في البرلمان بعد فشل تمرير الموازنة
70,70,45,48,Loaded Language,فشل,بيان ناري لسائرون ضد شركائها في البرلمان بعد فشل تمرير الموازنة,1376416027882491906,45.0,48.0,فشل,بيان ناري لسائرون ضد شركائها في البرلمان بعد فشل تمرير الموازنة
71,71,6,26,Loaded Language,نحن كالبنيان المرصوص,نعم نحن كالبنيان المرصوص ولو كره الكارهون رابط التبرعات في الكويت لأهلنا في السودان من قلبي سلام للخرطوم,1302626047788285952,4.0,24.0,نحن كالبنيان المرصوص,نعم نحن كالبنيان المرصوص ولو كره الكارهون رابط التبرعات في الكويت لأهلنا في السودان من قلبي سلام للخرطوم
72,72,35,43,Name calling/Labeling,الكارهون,نعم نحن كالبنيان المرصوص ولو كره الكارهون رابط التبرعات في الكويت لأهلنا في السودان من قلبي سلام للخرطوم,1302626047788285952,33.0,41.0,الكارهون,نعم نحن كالبنيان المرصوص ولو كره الكارهون رابط التبرعات في الكويت لأهلنا في السودان من قلبي سلام للخرطوم
73,73,6,26,Slogans,نحن كالبنيان المرصوص,نعم نحن كالبنيان المرصوص ولو كره الكارهون رابط التبرعات في الكويت لأهلنا في السودان من قلبي سلام للخرطوم,1302626047788285952,4.0,24.0,نحن كالبنيان المرصوص,نعم نحن كالبنيان المرصوص ولو كره الكارهون رابط التبرعات في الكويت لأهلنا في السودان من قلبي سلام للخرطوم
74,74,31,43,Loaded Language,كره الكارهون,نعم نحن كالبنيان المرصوص ولو كره الكارهون رابط التبرعات في الكويت لأهلنا في السودان من قلبي سلام للخرطوم,1302626047788285952,29.0,41.0,كره الكارهون,نعم نحن كالبنيان المرصوص ولو كره الكارهون رابط التبرعات في الكويت لأهلنا في السودان من قلبي سلام للخرطوم
75,75,35,43,"Obfuscation, Intentional vagueness, Confusion",الكارهون,نعم نحن كالبنيان المرصوص ولو كره الكارهون رابط التبرعات في الكويت لأهلنا في السودان من قلبي سلام للخرطوم,1302626047788285952,33.0,41.0,الكارهون,نعم نحن كالبنيان المرصوص ولو كره الكارهون رابط التبرعات في الكويت لأهلنا في السودان من قلبي سلام للخرطوم
76,76,10,26,Name calling/Labeling,كالبنيان المرصوص,نعم نحن كالبنيان المرصوص ولو كره الكارهون رابط التبرعات في الكويت لأهلنا في السودان من قلبي سلام للخرطوم,1302626047788285952,8.0,24.0,كالبنيان المرصوص,نعم نحن كالبنيان المرصوص ولو كره الكارهون رابط التبرعات في الكويت لأهلنا في السودان من قلبي سلام للخرطوم
77,77,10,17,Name calling/Labeling,المقاتل,أول رد من المقاتل حبيب على تحدي الرئيس الشيشاني,1398946291716177922,10.0,17.0,المقاتل,أول رد من المقاتل حبيب على تحدي الرئيس الشيشاني
78,78,77,92,Loaded Language,بمعاداة السامية,وزير خارجية النرويج السابق للجزيرة اتهامات إسرائيل للمحكمة الجنائية الدولية بمعاداة السامية مقلقة بشكل بالغ,1399878431119003653,76.0,91.0,بمعاداة السامية,وزير خارجية النرويج السابق للجزيرة اتهامات إسرائيل للمحكمة الجنائية الدولية بمعاداة السامية مقلقة بشكل بالغ
79,79,93,108,Loaded Language,مقلقة بشكل بالغ,وزير خارجية النرويج السابق للجزيرة اتهامات إسرائيل للمحكمة الجنائية الدولية بمعاداة السامية مقلقة بشكل بالغ,1399878431119003653,92.0,107.0,مقلقة بشكل بالغ,وزير خارجية النرويج السابق للجزيرة اتهامات إسرائيل للمحكمة الجنائية الدولية بمعاداة السامية مقلقة بشكل بالغ
