,full_text,start,end,technique,text,id,start_new,end_new,augmented_text,augmented_full_text
12,الوصال وزارة العمل تابعت وزارة العمل باهتمام حول تجمع عدد من المواطنين أمام مبنى المديرية العامة للعمل بمحافظة شمال الباطنة,0,0,no technique,,1396516823894462464,0.0,0.0,,الوصال وزارة العمل تابعت وزارة العمل باهتمام حول تجمع عدد من المواطنين أمام مبنى المديرية العامة للعمل بمحافظة شمال الباطنة
13,الجيش الإسرائيلي يدرس الوضع الصحي لخصومه عين ليبيا,0,0,no technique,,1383542766219583500,0.0,0.0,,الجيش الإسرائيلي يدرس الوضع الصحي لخصومه عين ليبيا
15,الوصال ما اسم الحيوان البري الذي تتخذه ولاية المضيبي شعارا لها حيوان النمر حيوان الغزال حيوان الوعل برنامج المسابقات حواء الأولى وآدم الأول,0,0,no technique,,1388816201845985280,0.0,0.0,,الوصال ما اسم الحيوان البري الذي تتخذه ولاية المضيبي شعارا لها حيوان النمر حيوان الغزال حيوان الوعل برنامج المسابقات حواء الأولى وآدم الأول
16,الإعلامي سلام مليك وراء القضبان أرشيف نواة مقتطفات من تدخل الإعلامي,0,0,no technique,,863107976848171009,0.0,0.0,,الإعلامي سلام مليك وراء القضبان أرشيف نواة مقتطفات من تدخل الإعلامي
17,تمزج بين النسختين البريطانية والهندية السلطات الصحية في فيتنام تكتشف نسخة جديدة متحورة لفيروس كورونا العربية,0,0,no technique,,1398982324772016129,0.0,0.0,,تمزج بين النسختين البريطانية والهندية السلطات الصحية في فيتنام تكتشف نسخة جديدة متحورة لفيروس كورونا العربية
18,هادي عمرو المبعوث الأمريكي للشؤون الفلسطينية والإسرائيلية من هو,0,0,no technique,,1393624062933471235,0.0,0.0,,هادي عمرو المبعوث الأمريكي للشؤون الفلسطينية والإسرائيلية من هو
19,تأكيد فوز فرقة مونيسكين بمسابقة يوروفيجن واختبار وجود المخدرات يبرئ المغني الإيطالي,0,0,no technique,,1397086806672220160,0.0,0.0,,تأكيد فوز فرقة مونيسكين بمسابقة يوروفيجن واختبار وجود المخدرات يبرئ المغني الإيطالي
20,الأكثر قراءة عندما ينقل المطبخ الرمضاني إلى المطاعم تعب الصيام على الزوجة أم نسوان آخر زمن,0,0,no technique,,870555589826490368,0.0,0.0,,الأكثر قراءة عندما ينقل المطبخ الرمضاني إلى المطاعم تعب الصيام على الزوجة أم نسوان آخر زمن
21,التحالف تدمير مسيرة مفخخة أطلقتها ميليشيا الحوثي باتجاه المنطقة الجنوبية,0,0,no technique,,1398252447785697280,0.0,0.0,,التحالف تدمير مسيرة مفخخة أطلقتها ميليشيا الحوثي باتجاه المنطقة الجنوبية
23,بي بي سي ترندينغ النساء تثرثر كثيرا رئيس أولمبياد طوكيو يتعرض لضغوط للاستقالة بعد تصريحه المثير للجدل,0,0,no technique,,1358824915483435012,0.0,0.0,,بي بي سي ترندينغ النساء تثرثر كثيرا رئيس أولمبياد طوكيو يتعرض لضغوط للاستقالة بعد تصريحه المثير للجدل
27,عين اليمن بالصور قبائل قيفة تكبد مليشيا الحوثي خسائر كبيرة في اعنف هجوم لمحاولة اجتياح يكلا اقرأ المزيد,0,0,no technique,,1292735223306870790,0.0,0.0,,عين اليمن بالصور قبائل قيفة تكبد مليشيا الحوثي خسائر كبيرة في اعنف هجوم لمحاولة اجتياح يكلا اقرأ المزيد
28,لا تعتبرهم حركة إرهابية تركيا ترفض طلبا مصريا بتسليم قادة الإخوان ما التفاصيل,0,0,no technique,,1390894228440498176,0.0,0.0,,لا تعتبرهم حركة إرهابية تركيا ترفض طلبا مصريا بتسليم قادة الإخوان ما التفاصيل
30,يوم النصر إصرار إنتصار وبناء,0,0,no technique,,1372699741289611264,0.0,0.0,,يوم النصر إصرار إنتصار وبناء
31,بعد كشف مقدار ثروته التي جمعها طيلة مشواره الفني عادل إمام يصبح أغنى فنان في مصر مصر عادل إمام ثروة فن غني,0,0,no technique,,1390358510756667400,0.0,0.0,,بعد كشف مقدار ثروته التي جمعها طيلة مشواره الفني عادل إمام يصبح أغنى فنان في مصر مصر عادل إمام ثروة فن غني
33,المدير الفني لنادي ليفربول ينفعل في وجه صحفي بسبب محمد صلاح,0,0,no technique,,1363161372251586561,0.0,0.0,,المدير الفني لنادي ليفربول ينفعل في وجه صحفي بسبب محمد صلاح
34,للعام الثالث رالي داكار يقام في الربع الخالي,0,0,no technique,,1392205794054180868,0.0,0.0,,للعام الثالث رالي داكار يقام في الربع الخالي
35,الخارجية الروسية تستدعي سفير كولومبيا بعد تصريحات وزير دفاعها عن هجمات إلكترونية,0,0,no technique,,7103,0.0,0.0,,الخارجية الروسية تستدعي سفير كولومبيا بعد تصريحات وزير دفاعها عن هجمات إلكترونية
36,أغلى عسل في العالم يدخل موسوعة غينيس,0,0,no technique,,1374122391513796611,0.0,0.0,,أغلى عسل في العالم يدخل موسوعة غينيس
37,حزب الله العراقي يعتبر اعتقال القيادي في الحشد قاسم مصلح استفزازا العراق العربية,0,0,no technique,,1397932138977185795,0.0,0.0,,حزب الله العراقي يعتبر اعتقال القيادي في الحشد قاسم مصلح استفزازا العراق العربية
38,عرض أنا برشا عندما تكفر الكتابة بالمحرمات,0,0,no technique,,986636915851087872,0.0,0.0,,عرض أنا برشا عندما تكفر الكتابة بالمحرمات
41,نتنياهو حماس أنشأت مدينة تحت الأرض في غزة وستعلن النصر في المعركة على أي حال,0,0,no technique,,1394961924169912322,0.0,0.0,,نتنياهو حماس أنشأت مدينة تحت الأرض في غزة وستعلن النصر في المعركة على أي حال
42,هل يتفق الرئيسان ميشال عون وسعد الحريري وتتألف الحكومة بعد الاستعانة بالصديق نبيه بري,0,0,no technique,,1397618308900392963,0.0,0.0,,هل يتفق الرئيسان ميشال عون وسعد الحريري وتتألف الحكومة بعد الاستعانة بالصديق نبيه بري
44,من عمان قطافها دانية إصدار أدبي خامس بنكهة طلابية عمانية من لندن عبير بنت صالح الربيعية الأمين العام للمجلس الاستشاري الطلابي العماني بالمملكة المتحدة,0,0,no technique,,1360115708181553153,0.0,0.0,,من عمان قطافها دانية إصدار أدبي خامس بنكهة طلابية عمانية من لندن عبير بنت صالح الربيعية الأمين العام للمجلس الاستشاري الطلابي العماني بالمملكة المتحدة
45,محمد صلاح والحذاء الذهبي كيف أضاع مو لقب الهدافين في المعركة الأخيرة فيديو,0,0,no technique,,7043,0.0,0.0,,محمد صلاح والحذاء الذهبي كيف أضاع مو لقب الهدافين في المعركة الأخيرة فيديو
46,علي خيون يجوس بمبضعه أدواء المجتمع في روايته بين قلبين,0,0,no technique,,1398504900800266242,0.0,0.0,,علي خيون يجوس بمبضعه أدواء المجتمع في روايته بين قلبين
50,الوصال أين يقع متحف أرض اللبان ولاية مرباط ولاية ثمريت ولاية صلالة السؤال ل ابتهال فريق حواء برنامج المسابقات حواء الاولى وادم الاول,0,0,no technique,,1383738211160100873,0.0,0.0,,الوصال أين يقع متحف أرض اللبان ولاية مرباط ولاية ثمريت ولاية صلالة السؤال ل ابتهال فريق حواء برنامج المسابقات حواء الاولى وادم الاول
52,الرجل الذي كان من فراغ,0,0,no technique,,1364082975428677632,0.0,0.0,,الرجل الذي كان من فراغ
53,تشيلسي يتوج بكأس دوري أبطال أوروبا للمرة الثانية في تاريخه الخليج أونلاين,0,0,no technique,,7308,0.0,0.0,,تشيلسي يتوج بكأس دوري أبطال أوروبا للمرة الثانية في تاريخه الخليج أونلاين
54,هالة صدقي تنشر صور إيمي ودنيا من جنازة سمير غانم تايهين من غير أمهم,0,0,no technique,,7042,0.0,0.0,,هالة صدقي تنشر صور إيمي ودنيا من جنازة سمير غانم تايهين من غير أمهم
56,فريد الياس الخازن يوم لبناني في الفاتيكان لكنه ليس للتدخل بالسياسيات الداخلية اللبنانية,0,0,no technique,,1399354385583558661,0.0,0.0,,فريد الياس الخازن يوم لبناني في الفاتيكان لكنه ليس للتدخل بالسياسيات الداخلية اللبنانية
57,السجن عاما لضابط أميركي في القبعات الخضراء تجسس للروس,0,0,no technique,,1393392927439835137,0.0,0.0,,السجن عاما لضابط أميركي في القبعات الخضراء تجسس للروس
58,بتسعة أرواح كيف نجا قط من حريق بناية شاهقة شاهد سكاي,0,0,no technique,,1393212003515133953,0.0,0.0,,بتسعة أرواح كيف نجا قط من حريق بناية شاهقة شاهد سكاي
59,الوصال الإصلاح الاقتصادي حلقة اليوم من فوانيس الوصال مع الدكتور المعتصم المعمري وضيفه الأكاديمي والباحث الاقتصادي الدكتور محمد الوردي,0,0,no technique,,1386726467850182663,0.0,0.0,,الوصال الإصلاح الاقتصادي حلقة اليوم من فوانيس الوصال مع الدكتور المعتصم المعمري وضيفه الأكاديمي والباحث الاقتصادي الدكتور محمد الوردي
60,العرض الخاص لفيلم أنت جريح في دار الأسد للثقافة والفنون بدمشق عبر,0,0,no technique,,1372173298876944389,0.0,0.0,,العرض الخاص لفيلم أنت جريح في دار الأسد للثقافة والفنون بدمشق عبر
63,الكشف عن تطورات صحة فنانة مشهورة بعد إصابتها ب كورونا العراق السومرية,0,0,no technique,,1400139104856248323,0.0,0.0,,الكشف عن تطورات صحة فنانة مشهورة بعد إصابتها ب كورونا العراق السومرية
66,رياض محرز يرفع علم فلسطين أثناء الاحتفال بتتويج مانشستر سيتي بلقب الدوري الإنجليزي,0,0,no technique,,1396578078176993282,0.0,0.0,,رياض محرز يرفع علم فلسطين أثناء الاحتفال بتتويج مانشستر سيتي بلقب الدوري الإنجليزي
67,معاناة من نوع آخر سببها الأساسي هو التعافي من كورونا تعرف على معاناة الصناعيين في العالم من نقص وارتفاع أسعار المواد الأولية الأسواق العربية,0,0,no technique,,1394631362909462539,0.0,0.0,,معاناة من نوع آخر سببها الأساسي هو التعافي من كورونا تعرف على معاناة الصناعيين في العالم من نقص وارتفاع أسعار المواد الأولية الأسواق العربية
68,فئات جديدة تستفيد من التطعيم تتراوح أعمارها بين و سنة رغم أن آخر إعلان رسمي لوزارة الصحة يهم المواطنات والمواطنين الذين تفوق أعمارهم سنة المغرب كورونا كوفيد صحة فيروس لقاح كورونا,0,0,no technique,,7351,0.0,0.0,,فئات جديدة تستفيد من التطعيم تتراوح أعمارها بين و سنة رغم أن آخر إعلان رسمي لوزارة الصحة يهم المواطنات والمواطنين الذين تفوق أعمارهم سنة المغرب كورونا كوفيد صحة فيروس لقاح كورونا
69,الجانبان أكدا على أهمية الحوار بين باكستان والهند لحل القضايا العالقة بين البلدين خصوصا نزاع جامو وكشمير لضمان السلام والاستقرار في المنطقة,0,0,no technique,,1391079106985566211,0.0,0.0,,الجانبان أكدا على أهمية الحوار بين باكستان والهند لحل القضايا العالقة بين البلدين خصوصا نزاع جامو وكشمير لضمان السلام والاستقرار في المنطقة
70,الفنان فلاح هاشم امنيتي انتقال البلد لحالة الاستقرار السياسي,0,0,no technique,,1347045621564366848,0.0,0.0,,الفنان فلاح هاشم امنيتي انتقال البلد لحالة الاستقرار السياسي
71,وتحدث قائلا لايمكن أن تتحمل الدولة المسؤولية وحدها في ارتفاع حوادث السير فالسائق كذلك يتحمل المسؤولية حينما لايتقيد بإجراءات السلامة والضوابط القانونية المنظمة للسير,0,0,no technique,,1372295109983735816,0.0,0.0,,وتحدث قائلا لايمكن أن تتحمل الدولة المسؤولية وحدها في ارتفاع حوادث السير فالسائق كذلك يتحمل المسؤولية حينما لايتقيد بإجراءات السلامة والضوابط القانونية المنظمة للسير
73,كرامي بعد جلسة مجلس النواب اللهم انا لا نسألك رد القضاء وانما نسألك اللطف فيه,0,0,no technique,,1396173098160906244,0.0,0.0,,كرامي بعد جلسة مجلس النواب اللهم انا لا نسألك رد القضاء وانما نسألك اللطف فيه
75,المالية النيابية البحث عن مكاسب مسبقة للانتخابات المبكرة يعطل الموازنة,0,0,no technique,,1374223199949438979,0.0,0.0,,المالية النيابية البحث عن مكاسب مسبقة للانتخابات المبكرة يعطل الموازنة
76,تطوان توقيف مقدم شرطة في قضية تتعلق بالنصب والاحتيال,0,0,no technique,,1378780855422836738,0.0,0.0,,تطوان توقيف مقدم شرطة في قضية تتعلق بالنصب والاحتيال
77,هزة أرضية يصل تأثيرها إلى مناطق ب عمان و الإمارات,0,0,no technique,,7312,0.0,0.0,,هزة أرضية يصل تأثيرها إلى مناطق ب عمان و الإمارات
79,محمد صلاح يرد على احتفال هاري كين مهاجم توتنهام بلقب هداف الدوري الإنجليزي على تويتر تستحق اللقب عن جدارة أهنئك,0,0,no technique,,1396782395160993792,0.0,0.0,,محمد صلاح يرد على احتفال هاري كين مهاجم توتنهام بلقب هداف الدوري الإنجليزي على تويتر تستحق اللقب عن جدارة أهنئك
82,عين العرب قطع للشوارع في المكلا الان مع استمرار احتشاد المواطنين الغاضبين من تردي الخدمات في المحافظة,0,0,no technique,,1156656273749946368,0.0,0.0,,عين العرب قطع للشوارع في المكلا الان مع استمرار احتشاد المواطنين الغاضبين من تردي الخدمات في المحافظة
83,أحدهما طفل مخلفات القصف والمعارك تودي بحياة شخصين بأرياف درعا ودير الزور,0,0,no technique,,1363867147454267399,0.0,0.0,,أحدهما طفل مخلفات القصف والمعارك تودي بحياة شخصين بأرياف درعا ودير الزور
85,رغم فوائده المتعددة تحذير من تناول الزنجبيل في هذه الحالات صحة عالم السومرية,0,0,no technique,,1378980729976143876,0.0,0.0,,رغم فوائده المتعددة تحذير من تناول الزنجبيل في هذه الحالات صحة عالم السومرية
86,حال الملعب الجماعي يقلق نشطاء بأولاد النمة جهات ساعة الأشواك,0,0,no technique,,1399979107958493186,0.0,0.0,,حال الملعب الجماعي يقلق نشطاء بأولاد النمة جهات ساعة الأشواك
87,عاجل رئيس حكومة الوفاق الوطني فائز السراج اتفاقنا على حكومة وحدة وطنية هو مدخل للأمن واستقرار الدولة عين ليبيا,0,0,no technique,,1371772461839175681,0.0,0.0,,عاجل رئيس حكومة الوفاق الوطني فائز السراج اتفاقنا على حكومة وحدة وطنية هو مدخل للأمن واستقرار الدولة عين ليبيا
89,توقيف تجار مخدرات و حجز قرابة قنطار من الكيف المعالج,0,0,no technique,,7347,0.0,0.0,,توقيف تجار مخدرات و حجز قرابة قنطار من الكيف المعالج
91,نائب رئيس حركة حماس صالح العاروري الاعتداء على المسجد الأقصى سيحرق رؤوس المحتلين القدس الشيخ جراح,0,0,no technique,,1391484406536228867,0.0,0.0,,نائب رئيس حركة حماس صالح العاروري الاعتداء على المسجد الأقصى سيحرق رؤوس المحتلين القدس الشيخ جراح
93,عين العرب نشطاء يدشنون هاشتاق عدن الغد تكذب بعد نشرها خبر كاذب عن سحب الأمارات مولدات كهربا قدمتها مساعده لمطار عدن,0,0,no technique,,1190362446327959553,0.0,0.0,,عين العرب نشطاء يدشنون هاشتاق عدن الغد تكذب بعد نشرها خبر كاذب عن سحب الأمارات مولدات كهربا قدمتها مساعده لمطار عدن
95,الذهب الأبيض فيلم عماني يفوز بجائزة مهرجان سينمانا الدولي,0,0,no technique,,7321,0.0,0.0,,الذهب الأبيض فيلم عماني يفوز بجائزة مهرجان سينمانا الدولي
102,بايدن لرشيدة طليب أدعو الله أن تكون جدتك وعائلتك بخير في الضفة الغربية أعدك أن أفعل كل شيء لأرى أنهم كذلك,0,0,no technique,,1394955996523646979,0.0,0.0,,بايدن لرشيدة طليب أدعو الله أن تكون جدتك وعائلتك بخير في الضفة الغربية أعدك أن أفعل كل شيء لأرى أنهم كذلك
105,لأول مرة يتمكن العلماء من تحديد كيفية العثور عليها ما هي حرائق الزومبي,0,0,no technique,,1396702509637509125,0.0,0.0,,لأول مرة يتمكن العلماء من تحديد كيفية العثور عليها ما هي حرائق الزومبي
106,الجزائر ليست محمية هاديك دولة أخرى فرنسا تحسب ألف حساب للجزائر,0,0,no technique,,1366497961950269448,0.0,0.0,,الجزائر ليست محمية هاديك دولة أخرى فرنسا تحسب ألف حساب للجزائر
111,الوصال ما هو معدل عمر الحوت الأحدب السؤال ل هنية الهادية فريق حواء برنامج المسابقات حواء الاولى وادم الاول,0,0,no technique,,1384110098289594370,0.0,0.0,,الوصال ما هو معدل عمر الحوت الأحدب السؤال ل هنية الهادية فريق حواء برنامج المسابقات حواء الاولى وادم الاول
112,واحدة من الشخصيات الأكثر شهرة في تاريخ لعبة غولف السيدات أنيكا سورينستام تخلق فرصا للجيل القادم من لاعبات الغولف,0,0,no technique,,1393846208926470146,0.0,0.0,,واحدة من الشخصيات الأكثر شهرة في تاريخ لعبة غولف السيدات أنيكا سورينستام تخلق فرصا للجيل القادم من لاعبات الغولف
113,إعادة النمور المرقطة للبرية في الأرجنتين,0,0,no technique,,1389963264830984194,0.0,0.0,,إعادة النمور المرقطة للبرية في الأرجنتين
115,بغداد خلاف عائلي يودي بحياة الزوج واصابة الزوجة امن العراق السومرية,0,0,no technique,,1395385026628538368,0.0,0.0,,بغداد خلاف عائلي يودي بحياة الزوج واصابة الزوجة امن العراق السومرية
116,مجلس العشائر والقبائل السورية يجدد رفضه مشروعات التغير الديموغرافي والانفصال في سوريا,0,0,no technique,,7095,0.0,0.0,,مجلس العشائر والقبائل السورية يجدد رفضه مشروعات التغير الديموغرافي والانفصال في سوريا
129,قهوة الصباح قصيدة في حب الوطن نوف بنت خلفان البريكية,0,0,no technique,,1325345970981318656,0.0,0.0,,قهوة الصباح قصيدة في حب الوطن نوف بنت خلفان البريكية
131,الباحث في العلاج المناعي بجامعة كارديف محمد الحاج علي الفطر الأسود موجود في التربة والخضروات قبل اكتشاف كورونا ونقص المناعة سبب رئيسي للإصابة به العربية,0,0,no technique,,1396460761896169472,0.0,0.0,,الباحث في العلاج المناعي بجامعة كارديف محمد الحاج علي الفطر الأسود موجود في التربة والخضروات قبل اكتشاف كورونا ونقص المناعة سبب رئيسي للإصابة به العربية
141,دعوات للتظاهر في الطبقة ضد حملات التجنيد الإجباري ل ب ي د,0,0,no technique,,1395120840816140290,0.0,0.0,,دعوات للتظاهر في الطبقة ضد حملات التجنيد الإجباري ل ب ي د
162,بعد استهداف إسرائيل للأنفاق وعدد من منازل قيادات حماس سؤال يطرح نفسه كيفية استطاع الجيش الإسرائيلي تحديد تلك المواقع بدقة العربية,0,0,no technique,,7055,0.0,0.0,,بعد استهداف إسرائيل للأنفاق وعدد من منازل قيادات حماس سؤال يطرح نفسه كيفية استطاع الجيش الإسرائيلي تحديد تلك المواقع بدقة العربية
172,قرادة لرئيس حكومة الوحدة الوطنية لن أخاتلك تربصا ولن أجاملك طمعا عين ليبيا,0,0,no technique,,1374002150620213249,0.0,0.0,,قرادة لرئيس حكومة الوحدة الوطنية لن أخاتلك تربصا ولن أجاملك طمعا عين ليبيا
175,طاعة الرسول ﷺ هي طاعة لله فهو مؤيد بالوحي ولا ينطق عن الهوى تأملات قرآنية,0,0,no technique,,1389702564694855682,0.0,0.0,,طاعة الرسول ﷺ هي طاعة لله فهو مؤيد بالوحي ولا ينطق عن الهوى تأملات قرآنية
204,القرار الأميركي بخلع الكمامات توضيح لا ينبغي تجاهله,0,0,no technique,,1393100013341863938,0.0,0.0,,القرار الأميركي بخلع الكمامات توضيح لا ينبغي تجاهله
205,روسيا ترحب بتمديد الاتفاق بين إيران والوكالة الدولية للطاقة الذرية,0,0,no technique,,7101,0.0,0.0,,روسيا ترحب بتمديد الاتفاق بين إيران والوكالة الدولية للطاقة الذرية
206,رقصة ودية بين جنود إسرائيليين ومصريين على الحدود الفاصلة بين البلدين,0,0,no technique,,1389680149835231240,0.0,0.0,,رقصة ودية بين جنود إسرائيليين ومصريين على الحدود الفاصلة بين البلدين
227,نقاط على حروف الذاكرة الحلية,0,0,no technique,,1358472747643469825,0.0,0.0,,نقاط على حروف الذاكرة الحلية
236,من عمان دور الوثائق الوطنية العمانية في حفظ الذاكرة الوطنية لقاء مع الدكتور عبدالعزيز بن هلال الخروصي الباحث في التاريخ الشفوي والوثائق العمانية,0,0,no technique,,1357209310187704321,0.0,0.0,,من عمان دور الوثائق الوطنية العمانية في حفظ الذاكرة الوطنية لقاء مع الدكتور عبدالعزيز بن هلال الخروصي الباحث في التاريخ الشفوي والوثائق العمانية
238,غزة وإسرائيل بلينكن يزور الشرق الأوسط لتعزيز وقف إطلاق النار عربي,0,0,no technique,,7084,0.0,0.0,,غزة وإسرائيل بلينكن يزور الشرق الأوسط لتعزيز وقف إطلاق النار عربي
246,أبلغ من العمر سنوات فقط كلمات مؤثرة لطفلة فلسطينية تتمنى لو كانت طبيبة لتساعد شعبها,0,0,no technique,,1393831081187713026,0.0,0.0,,أبلغ من العمر سنوات فقط كلمات مؤثرة لطفلة فلسطينية تتمنى لو كانت طبيبة لتساعد شعبها
249,سعد بن محمد الرميحي يكتب للشرق هي بحق عروس الفضاء,0,0,no technique,,1393819025801625601,0.0,0.0,,سعد بن محمد الرميحي يكتب للشرق هي بحق عروس الفضاء
259,العاهل الأردني لبلينكن من الضروري الحفاظ على الوضع التاريخي والقانوني القائم بالقدس ومقدساتها,0,0,no technique,,7327,0.0,0.0,,العاهل الأردني لبلينكن من الضروري الحفاظ على الوضع التاريخي والقانوني القائم بالقدس ومقدساتها
264,تحت الضوء حول العدالة في بلادنا التحديات والآفاق عبر,0,0,no technique,,867122013957238786,0.0,0.0,,تحت الضوء حول العدالة في بلادنا التحديات والآفاق عبر
274,الوصال منذر من فريق أرض اللبان ما المانع أن يكون هناك اتحاد لرياضة المشي الجبلي,0,0,no technique,,1373965057298694148,0.0,0.0,,الوصال منذر من فريق أرض اللبان ما المانع أن يكون هناك اتحاد لرياضة المشي الجبلي
276,جوجل يحتفل بعيد استقلال المملكة الأردنية الهاشمية صحيفة الرأي الأردن,0,0,no technique,,1396955684885962755,0.0,0.0,,جوجل يحتفل بعيد استقلال المملكة الأردنية الهاشمية صحيفة الرأي الأردن
376,الخليج العربي في ظل التقارب الصيني الإيراني,0,0,no technique,,7299,0.0,0.0,,الخليج العربي في ظل التقارب الصيني الإيراني
459,الجيش البريطاني يكشف تفاصيل عملية سرية عطلت طائرات الدرون ل دا عش بسوريا,0,0,no technique,,1359200907850878982,0.0,0.0,,الجيش البريطاني يكشف تفاصيل عملية سرية عطلت طائرات الدرون ل دا عش بسوريا
466,خارج النص ماهي الرواية السائدة التي عارضها فيرين عن تاريخ الأندلس شاهدوا الحلقة على يوتيوب,0,0,no technique,,1389776866681114624,0.0,0.0,,خارج النص ماهي الرواية السائدة التي عارضها فيرين عن تاريخ الأندلس شاهدوا الحلقة على يوتيوب
0,ده مش معتقل ده أحسن من اللوكاندة جدل وسخرية من زيارات تنظمها وزارة الداخلية للسجون مصر,1,33,Exaggeration/Minimisation,ده مش معتقل ده أحسن من اللوكاندة,1389927866356412416,0.0,32.0,إنه ليس رهن الإعتقال إنه أفضل من (لوكانا),إنه ليس رهن الإعتقال إنه أفضل من (لوكانا) جدل وسخرية من زيارات تنظمها وزارة الداخلية للسجون مصر
1,الأخطر في العالم الكشف عن سلالة جديدة لكورونا,0,18,Exaggeration/Minimisation,الأخطر في العالم,1376186351993896964,0.0,16.0,الأكثر خطورة في العالم,الأكثر خطورة في العالم الكشف عن سلالة جديدة لكورونا
2,وزير الخارجية الأمريكي أنتوني بلينكن جهود الأردن في إنهاء دائرة العنف الأخيرة تبرز دورها المحوري كصديق وحليف للولايات المتحدة الخليج أونلاين,92,99,Exaggeration/Minimisation,المحوري,7323,89.0,96.0,المحور.,وزير الخارجية الأمريكي أنتوني بلينكن جهود الأردن في إنهاء دائرة العنف الأخيرة تبرز دورها المحور. كصديق وحليف للولايات المتحدة الخليج أونلاين
3,تونس لص حنون يسرق هاتفا ويعيد الشريحة وبطاقة الذاكرة لصاحبته,8,15,Exaggeration/Minimisation,لص حنون,1396113781353238538,5.0,12.0,اللص الحبي.,تونس اللص الحبي. يسرق هاتفا ويعيد الشريحة وبطاقة الذاكرة لصاحبته
4,نتنياهو يتوعد الفصائل الفلسطينية بأن تدفع ثمنا باهظا وحماس مستعدة للتصعيد الإسرائيلي,43,53,Exaggeration/Minimisation,ثمنا باهظا,7277,42.0,52.0,إنها غالية جداً,نتنياهو يتوعد الفصائل الفلسطينية بأن تدفع إنها غالية جداً وحماس مستعدة للتصعيد الإسرائيلي
