,start,end,technique,text,full_text,id,start_new,end_new
10,1,13,Name calling/Labeling,مقامر ومجنون,مقامر ومجنون الصحافة البريطانية تشن هجوما حادا على غوارديولا بعد ضياع دوري الأبطال,1399057217349881860,0.0,12.0
11,1,13,Loaded Language,مقامر ومجنون,مقامر ومجنون الصحافة البريطانية تشن هجوما حادا على غوارديولا بعد ضياع دوري الأبطال,1399057217349881860,0.0,12.0
12,40,52,Loaded Language,هجوما حادا,مقامر ومجنون الصحافة البريطانية تشن هجوما حادا على غوارديولا بعد ضياع دوري الأبطال,1399057217349881860,36.0,46.0
13,55,104,Appeal to fear/prejudice,أعددنا لكم أصنافا من الموت ستجعلكم تلعنون أنفسكم,الناطق باسم كتائب القسام للصهاينة احشدوا ما شئتم فقد أعددنا لكم أصنافا من الموت ستجعلكم تلعنون أنفسكم,1392790941770133507,53.0,101.0
14,66,83,Loaded Language,أصنافا من الموت,الناطق باسم كتائب القسام للصهاينة احشدوا ما شئتم فقد أعددنا لكم أصنافا من الموت ستجعلكم تلعنون أنفسكم,1392790941770133507,64.0,79.0
15,91,104,Exaggeration/Minimisation,تلعنون أنفسكم,الناطق باسم كتائب القسام للصهاينة احشدوا ما شئتم فقد أعددنا لكم أصنافا من الموت ستجعلكم تلعنون أنفسكم,1392790941770133507,88.0,101.0
16,25,34,Name calling/Labeling,للصهاينة,الناطق باسم كتائب القسام للصهاينة احشدوا ما شئتم فقد أعددنا لكم أصنافا من الموت ستجعلكم تلعنون أنفسكم,1392790941770133507,25.0,33.0
17,0,10,Loaded Language,فيديو صادم,فيديو صادم شرطية أميركية تنجو من هجوم مرعب شاهد سكاي,1399446833609547783,0.0,10.0
18,38,47,Loaded Language,هجوم مرعب,فيديو صادم شرطية أميركية تنجو من هجوم مرعب شاهد سكاي,1399446833609547783,33.0,42.0
19,13,39,Name calling/Labeling,مغالطات وزير خارجية المغرب,ولد السالك مغالطات وزير خارجية المغرب ومواصلة بلده للاحتلال ستؤدي بالمملكة للهاوية,1358747565106360320,11.0,37.0
20,62,84,Appeal to fear/prejudice,ستؤدي بالمملكة للهاوية,ولد السالك مغالطات وزير خارجية المغرب ومواصلة بلده للاحتلال ستؤدي بالمملكة للهاوية,1358747565106360320,60.0,82.0
21,62,84,Exaggeration/Minimisation,ستؤدي بالمملكة للهاوية,ولد السالك مغالطات وزير خارجية المغرب ومواصلة بلده للاحتلال ستؤدي بالمملكة للهاوية,1358747565106360320,60.0,82.0
22,77,84,Loaded Language,للهاوية,ولد السالك مغالطات وزير خارجية المغرب ومواصلة بلده للاحتلال ستؤدي بالمملكة للهاوية,1358747565106360320,75.0,82.0
23,53,62,Name calling/Labeling,للاحتلال,ولد السالك مغالطات وزير خارجية المغرب ومواصلة بلده للاحتلال ستؤدي بالمملكة للهاوية,1358747565106360320,51.0,59.0
24,20,34,Loaded Language,ليلة من الجحيم,مراسلة فرانس ليلة من الجحيم في شمال غزة والأونروا ترفض فتح المدارس للنازحين,1393173766889377795,13.0,27.0
25,13,39,Loaded Language,لا حياد مع الكيان الصهيوني,لا حياد مع الكيان الصهيوني الحياد يعني تسليم رقابنا لهذا العدو المجرم المقاومة ثم المقاومة ثم المقاومة وهلق شو,1394010173098893317,0.0,26.0
26,24,39,Name calling/Labeling,الكيان الصهيوني,لا حياد مع الكيان الصهيوني الحياد يعني تسليم رقابنا لهذا العدو المجرم المقاومة ثم المقاومة ثم المقاومة وهلق شو,1394010173098893317,11.0,26.0
27,70,82,Name calling/Labeling,العدو المجرم,لا حياد مع الكيان الصهيوني الحياد يعني تسليم رقابنا لهذا العدو المجرم المقاومة ثم المقاومة ثم المقاومة وهلق شو,1394010173098893317,57.0,69.0
28,70,82,Loaded Language,العدو المجرم,لا حياد مع الكيان الصهيوني الحياد يعني تسليم رقابنا لهذا العدو المجرم المقاومة ثم المقاومة ثم المقاومة وهلق شو,1394010173098893317,57.0,69.0
29,83,115,Repetition,المقاومة ثم المقاومة ثم المقاومة,لا حياد مع الكيان الصهيوني الحياد يعني تسليم رقابنا لهذا العدو المجرم المقاومة ثم المقاومة ثم المقاومة وهلق شو,1394010173098893317,70.0,102.0
30,52,64,Loaded Language,تسليم رقابنا,لا حياد مع الكيان الصهيوني الحياد يعني تسليم رقابنا لهذا العدو المجرم المقاومة ثم المقاومة ثم المقاومة وهلق شو,1394010173098893317,39.0,51.0
31,81,104,Loaded Language,الإجرامية غير الإنسانية,رؤساء البرلمانات العربية يطالبون بتدخل دولي عاجل لوضع حد نهائي لممارسات إسرائيل الإجرامية غير الإنسانية,1392575259711266821,80.0,103.0
32,63,79,Name calling/Labeling,لممارسات إسرائيل,رؤساء البرلمانات العربية يطالبون بتدخل دولي عاجل لوضع حد نهائي لممارسات إسرائيل الإجرامية غير الإنسانية,1392575259711266821,63.0,79.0
33,63,105,Name calling/Labeling,لممارسات إسرائيل الإجرامية غير الإنسانية,رؤساء البرلمانات العربية يطالبون بتدخل دولي عاجل لوضع حد نهائي لممارسات إسرائيل الإجرامية غير الإنسانية,1392575259711266821,63.0,103.0
34,73,81,Loaded Language,أثر خطير,الهيئة القيادية العليا لأسرى حماس تأجيل أو إلغاء الانتخابات سيكون له أثر خطير على شعبنا الفلسطيني وإيمانه بالاحتكام للعملية الديموقراطية,1386216744117735425,69.0,77.0
35,73,102,Appeal to fear/prejudice,أثر خطير على شعبنا الفلسطيني,الهيئة القيادية العليا لأسرى حماس تأجيل أو إلغاء الانتخابات سيكون له أثر خطير على شعبنا الفلسطيني وإيمانه بالاحتكام للعملية الديموقراطية,1386216744117735425,69.0,97.0
36,86,101,Loaded Language,شعبنا الفلسطيني,الهيئة القيادية العليا لأسرى حماس تأجيل أو إلغاء الانتخابات سيكون له أثر خطير على شعبنا الفلسطيني وإيمانه بالاحتكام للعملية الديموقراطية,1386216744117735425,82.0,97.0
37,102,140,Loaded Language,وإيمانه بالاحتكام للعملية الديموقراطية,الهيئة القيادية العليا لأسرى حماس تأجيل أو إلغاء الانتخابات سيكون له أثر خطير على شعبنا الفلسطيني وإيمانه بالاحتكام للعملية الديموقراطية,1386216744117735425,98.0,136.0
38,0,22,Exaggeration/Minimisation,رغم الشيطنة والإيقافات,رغم الشيطنة والإيقافات حملة فاش نستناو مستمرة,951906850160742402,0.0,22.0
39,0,48,Smears,رغم الشيطنة والإيقافات حملة فاش نستناو مستمرة,رغم الشيطنة والإيقافات حملة فاش نستناو مستمرة,951906850160742402,0.0,45.0
40,4,11,Loaded Language,الشيطنة,رغم الشيطنة والإيقافات حملة فاش نستناو مستمرة,951906850160742402,4.0,11.0
41,1,19,Doubt,عين اليمن من انتصر,عين اليمن من انتصر ومن تقهقر في معركة كسر العظم بصرواح الحقيقة كاملة,1244219652357709824,0.0,18.0
42,25,30,Loaded Language,تقهقر,عين اليمن من انتصر ومن تقهقر في معركة كسر العظم بصرواح الحقيقة كاملة,1244219652357709824,23.0,28.0
43,34,49,Loaded Language,معركة كسر العظم,عين اليمن من انتصر ومن تقهقر في معركة كسر العظم بصرواح الحقيقة كاملة,1244219652357709824,32.0,47.0
44,40,57,Doubt,كسر العظم بصرواح,عين اليمن من انتصر ومن تقهقر في معركة كسر العظم بصرواح الحقيقة كاملة,1244219652357709824,38.0,54.0
45,22,34,Loaded Language,بانتصار ثمين,المنتخب الألماني يعود بانتصار ثمين في تصفيات المونديال,1376601413577498625,22.0,34.0
46,0,37,Slogans,إدفنوا شهداءكم إنهضوا وتيقظوا,إدفنوا شهداءكم إنهضوا وتيقظوا كتب محمد خروب,1396224622836785155,0.0,29.0
47,7,15,Loaded Language,شهداءكم,إدفنوا شهداءكم إنهضوا وتيقظوا كتب محمد خروب,1396224622836785155,7.0,14.0
48,7,15,Name calling/Labeling,شهداءكم,إدفنوا شهداءكم إنهضوا وتيقظوا كتب محمد خروب,1396224622836785155,7.0,14.0
49,2,17,Name calling/Labeling,الفلاحين الصغار,الفلاحين الصغار في أولاد جاب الله و ملولش إنتفاضة علف الكرامة,1364302385250787328,0.0,15.0
50,47,54,Loaded Language,إنتفاضة,الفلاحين الصغار في أولاد جاب الله و ملولش إنتفاضة علف الكرامة,1364302385250787328,42.0,49.0
51,0,0,no technique,,قهوة الصباح قصيدة في حب الوطن نوف بنت خلفان البريكية,1325345970981318656,0.0,0.0
52,25,35,Loaded Language,انفجار,عاجل القناة العبرية انفجار طائرة دون طيار مفخخة في سماء إحدى مستوطنات غلاف غزة,1392812816961314816,20.0,26.0
53,51,60,Loaded Language,مفخخة,عاجل القناة العبرية انفجار طائرة دون طيار مفخخة في سماء إحدى مستوطنات غلاف غزة,1392812816961314816,42.0,47.0
54,74,85,Name calling/Labeling,مستوطنات,عاجل القناة العبرية انفجار طائرة دون طيار مفخخة في سماء إحدى مستوطنات غلاف غزة,1392812816961314816,61.0,69.0
55,13,113,Doubt,من الجمهوريين يعتقدون أن ترمب الرئيس الحقيقي للولايات المتحدة و لديهم يقين بسرقة الانتخابات,استطلاع رأي من الجمهوريين يعتقدون أن ترمب الرئيس الحقيقي للولايات المتحدة و لديهم يقين بسرقة الانتخابات العربية,1397371686606020608,12.0,103.0
56,97,113,Loaded Language,بسرقة الانتخابات,استطلاع رأي من الجمهوريين يعتقدون أن ترمب الرئيس الحقيقي للولايات المتحدة و لديهم يقين بسرقة الانتخابات العربية,1397371686606020608,87.0,103.0
57,47,61,Name calling/Labeling,الرئيس الحقيقي,استطلاع رأي من الجمهوريين يعتقدون أن ترمب الرئيس الحقيقي للولايات المتحدة و لديهم يقين بسرقة الانتخابات العربية,1397371686606020608,42.0,56.0
58,0,0,no technique,,الوصال ما هو معدل عمر الحوت الأحدب السؤال ل هنية الهادية فريق حواء برنامج المسابقات حواء الاولى وادم الاول,1384110098289594370,0.0,0.0
59,49,60,Loaded Language,بعمق الأزمة,زهير المغزاوي ما لمسته انو رئيس الجمهورية شاعر بعمق الأزمة و هو بصدد القيام بالعديد من اللقاءات من أجل إيجاد حلول,1329035990908989441,47.0,58.0
60,0,0,no technique,,قرادة لرئيس حكومة الوحدة الوطنية لن أخاتلك تربصا ولن أجاملك طمعا عين ليبيا,1374002150620213249,0.0,0.0
61,27,46,Loaded Language,الاعتداءات الوحشية,عاجل الرئاسة الفلسطينية الاعتداءات الوحشية لقوات الاحتلال في المسجد الأقصى هي تحد جديد للمجتمع الدولي,1391689686545010689,24.0,42.0
62,28,106,Appeal to fear/prejudice,الاعتداءات الوحشية لقوات الاحتلال في المسجد الأقصى هي تحد جديد للمجتمع الدولي,عاجل الرئاسة الفلسطينية الاعتداءات الوحشية لقوات الاحتلال في المسجد الأقصى هي تحد جديد للمجتمع الدولي,1391689686545010689,24.0,101.0
63,47,61,Name calling/Labeling,لقوات الاحتلال,عاجل الرئاسة الفلسطينية الاعتداءات الوحشية لقوات الاحتلال في المسجد الأقصى هي تحد جديد للمجتمع الدولي,1391689686545010689,43.0,57.0
64,34,45,Loaded Language,تنتقد تطبيع,الإمارات الشيخة جواهر القاسمي تنتقد تطبيع التعليم مع إسرائيل مناهجهم توصي بقتل واغتصاب أرض العربي,1355179141608443904,30.0,41.0
65,81,94,Loaded Language,بقتل واغتصاب,الإمارات الشيخة جواهر القاسمي تنتقد تطبيع التعليم مع إسرائيل مناهجهم توصي بقتل واغتصاب أرض العربي,1355179141608443904,74.0,86.0
66,68,104,Smears,مناهجهم توصي بقتل واغتصاب أرض العربي,الإمارات الشيخة جواهر القاسمي تنتقد تطبيع التعليم مع إسرائيل مناهجهم توصي بقتل واغتصاب أرض العربي,1355179141608443904,61.0,97.0
67,51,95,Loaded Language,القدس التي ستبقى عاصمة أبدية وموحدة لإسرائيل,نتنياهو نرفض كل الضغوط لمنع حكومتنا من البناء في القدس التي ستبقى عاصمة أبدية وموحدة لإسرائيل الأخبار,1391422717509971970,49.0,93.0
68,0,0,no technique,,الإعلامي سلام مليك وراء القضبان أرشيف نواة مقتطفات من تدخل الإعلامي,863107976848171009,0.0,0.0
69,0,9,Loaded Language,بيان ناري,بيان ناري لسائرون ضد شركائها في البرلمان بعد فشل تمرير الموازنة,1376416027882491906,0.0,9.0
70,45,48,Loaded Language,فشل,بيان ناري لسائرون ضد شركائها في البرلمان بعد فشل تمرير الموازنة,1376416027882491906,45.0,48.0
71,6,26,Loaded Language,نحن كالبنيان المرصوص,نعم نحن كالبنيان المرصوص ولو كره الكارهون رابط التبرعات في الكويت لأهلنا في السودان من قلبي سلام للخرطوم,1302626047788285952,4.0,24.0
72,35,43,Name calling/Labeling,الكارهون,نعم نحن كالبنيان المرصوص ولو كره الكارهون رابط التبرعات في الكويت لأهلنا في السودان من قلبي سلام للخرطوم,1302626047788285952,33.0,41.0
73,6,26,Slogans,نحن كالبنيان المرصوص,نعم نحن كالبنيان المرصوص ولو كره الكارهون رابط التبرعات في الكويت لأهلنا في السودان من قلبي سلام للخرطوم,1302626047788285952,4.0,24.0
74,31,43,Loaded Language,كره الكارهون,نعم نحن كالبنيان المرصوص ولو كره الكارهون رابط التبرعات في الكويت لأهلنا في السودان من قلبي سلام للخرطوم,1302626047788285952,29.0,41.0
75,35,43,"Obfuscation, Intentional vagueness, Confusion",الكارهون,نعم نحن كالبنيان المرصوص ولو كره الكارهون رابط التبرعات في الكويت لأهلنا في السودان من قلبي سلام للخرطوم,1302626047788285952,33.0,41.0
76,10,26,Name calling/Labeling,كالبنيان المرصوص,نعم نحن كالبنيان المرصوص ولو كره الكارهون رابط التبرعات في الكويت لأهلنا في السودان من قلبي سلام للخرطوم,1302626047788285952,8.0,24.0
77,10,17,Name calling/Labeling,المقاتل,أول رد من المقاتل حبيب على تحدي الرئيس الشيشاني,1398946291716177922,10.0,17.0
78,77,92,Loaded Language,بمعاداة السامية,وزير خارجية النرويج السابق للجزيرة اتهامات إسرائيل للمحكمة الجنائية الدولية بمعاداة السامية مقلقة بشكل بالغ,1399878431119003653,76.0,91.0
79,93,108,Loaded Language,مقلقة بشكل بالغ,وزير خارجية النرويج السابق للجزيرة اتهامات إسرائيل للمحكمة الجنائية الدولية بمعاداة السامية مقلقة بشكل بالغ,1399878431119003653,92.0,107.0
80,36,76,Loaded Language,اتهامات إسرائيل للمحكمة الجنائية الدولية,وزير خارجية النرويج السابق للجزيرة اتهامات إسرائيل للمحكمة الجنائية الدولية بمعاداة السامية مقلقة بشكل بالغ,1399878431119003653,35.0,75.0
81,77,92,Name calling/Labeling,بمعاداة السامية,وزير خارجية النرويج السابق للجزيرة اتهامات إسرائيل للمحكمة الجنائية الدولية بمعاداة السامية مقلقة بشكل بالغ,1399878431119003653,76.0,91.0
82,36,108,Smears,اتهامات إسرائيل للمحكمة الجنائية الدولية بمعاداة السامية مقلقة بشكل بالغ,وزير خارجية النرويج السابق للجزيرة اتهامات إسرائيل للمحكمة الجنائية الدولية بمعاداة السامية مقلقة بشكل بالغ,1399878431119003653,35.0,107.0
83,47,57,Loaded Language,الاغتيالات,عبيد البريكي ناس ما قدمت كان الدمار للبلاد و الاغتيالات و الجهاز السري مازلت تعمل عليها في حزام سياسي,1351868804184367109,45.0,55.0
84,31,44,Loaded Language,الدمار للبلاد,عبيد البريكي ناس ما قدمت كان الدمار للبلاد و الاغتيالات و الجهاز السري مازلت تعمل عليها في حزام سياسي,1351868804184367109,29.0,42.0
85,15,72,"Obfuscation, Intentional vagueness, Confusion",ناس ما قدمت كان الدمار للبلاد و الاغتيالات و الجهاز السري,عبيد البريكي ناس ما قدمت كان الدمار للبلاد و الاغتيالات و الجهاز السري مازلت تعمل عليها في حزام سياسي,1351868804184367109,13.0,70.0
86,15,30,Name calling/Labeling,ميليشيا الحوثي,مع استمرار رفض ميليشيا الحوثي لصيانته أو تفريغه وزير البيئة اليمني على دول البحر الأحمر الاستعداد لمواجهة كارثة محتملة لخزان النفط صافر العربية,1399032609221529607,15.0,29.0
87,92,122,Appeal to fear/prejudice,الاستعداد لمواجهة كارثة محتملة,مع استمرار رفض ميليشيا الحوثي لصيانته أو تفريغه وزير البيئة اليمني على دول البحر الأحمر الاستعداد لمواجهة كارثة محتملة لخزان النفط صافر العربية,1399032609221529607,88.0,118.0
88,110,115,Loaded Language,كارثة,مع استمرار رفض ميليشيا الحوثي لصيانته أو تفريغه وزير البيئة اليمني على دول البحر الأحمر الاستعداد لمواجهة كارثة محتملة لخزان النفط صافر العربية,1399032609221529607,106.0,111.0
89,16,42,Loaded Language,حول طفلا إلى أشلاء,ب برامليه فقط حول طفلا إلى أشلاء النظام يتحدث عن ضرر الحرب على الأطفال,1376217911711444993,14.0,32.0
90,0,0,no technique,,سعد بن محمد الرميحي يكتب للشرق هي بحق عروس الفضاء,1393819025801625601,0.0,0.0
91,0,0,no technique,,عرض أنا برشا عندما تكفر الكتابة بالمحرمات,986636915851087872,0.0,0.0
92,81,91,Name calling/Labeling,صانع النصر,عاجل المتحدث باسم فصائل المقاومة الفلسطينية تحية لشعبنا لأنه صانع النصر وعنوان البطولة,1395748714795384837,61.0,71.0
93,93,106,Name calling/Labeling,عنوان البطولة,عاجل المتحدث باسم فصائل المقاومة الفلسطينية تحية لشعبنا لأنه صانع النصر وعنوان البطولة,1395748714795384837,73.0,86.0
94,64,75,Flag-waving,تحية لشعبنا,عاجل المتحدث باسم فصائل المقاومة الفلسطينية تحية لشعبنا لأنه صانع النصر وعنوان البطولة,1395748714795384837,44.0,55.0
95,0,5,Loaded Language,تهديد,تهديد المدعي العام التمييزي و رئيس مجلس القضاء الأعلى بالإيذاء الجسدي بالتزامن مع حملة أطلقها التيار الوطني الحر على غسان عويدات,1397606995113435139,0.0,5.0
96,10,22,Name calling/Labeling,شهيد الحقيقة,شاهد شهيد الحقيقة يوسف أبو حسين,1395049074148184066,5.0,17.0
97,10,22,Glittering generalities (Virtue),شهيد الحقيقة,شاهد شهيد الحقيقة يوسف أبو حسين,1395049074148184066,5.0,17.0
98,60,79,Name calling/Labeling,مدينة حيفا المحتلة,التحام من النهر إلى البحر جميع مقاهي جادة الكرمل في مدينة حيفا المحتلة تغلق أبوابها في يوم إضراب فلسطين رشاد العمري,1394538137527980033,52.0,70.0
99,0,31,Loaded Language,التحام من النهر إلى البحر,التحام من النهر إلى البحر جميع مقاهي جادة الكرمل في مدينة حيفا المحتلة تغلق أبوابها في يوم إضراب فلسطين رشاد العمري,1394538137527980033,0.0,25.0
100,3,14,Loaded Language,شراهة الصين,شراهة الصين لاستيراد الفول السوداني نعمة على مزارعي السنغال ونقمة,1391687348904087552,0.0,11.0
101,39,43,Loaded Language,نعمة,شراهة الصين لاستيراد الفول السوداني نعمة على مزارعي السنغال ونقمة,1391687348904087552,36.0,40.0
102,66,70,Loaded Language,نقمة,شراهة الصين لاستيراد الفول السوداني نعمة على مزارعي السنغال ونقمة,1391687348904087552,61.0,65.0
103,0,15,Loaded Language,كل شئ حولي رماد,كل شئ حولي رماد طفلة فلسطينية تروي مأساتها بعد قصف منزلها في غزة غزة تحت القضف غزة الآن,1393874515239788545,0.0,15.0
104,37,44,Loaded Language,مأساتها,كل شئ حولي رماد طفلة فلسطينية تروي مأساتها بعد قصف منزلها في غزة غزة تحت القضف غزة الآن,1393874515239788545,35.0,42.0
105,20,30,Name calling/Labeling,عاشق مرتبك,شكري بلعيد الشاعر عاشق مرتبك مضى إلى نهايته الممكنة,961273284955340800,18.0,28.0
106,1,12,Loaded Language,زيادة فاضحة,زيادة فاضحة في ثمن المنتجات تسيء للسياحة المغربية على الأنترنيت اقتصاد الزيادة في الأسعار السياح الأجانب,1388933951255846913,0.0,11.0
107,29,52,Loaded Language,تسيء للسياحة المغربية,زيادة فاضحة في ثمن المنتجات تسيء للسياحة المغربية على الأنترنيت اقتصاد الزيادة في الأسعار السياح الأجانب,1388933951255846913,28.0,49.0
108,31,39,Loaded Language,باستشهاد,الأمن العراقي الهجوم تسبب باستشهاد آمر اللواء الثاني في حرس الحدود وآمر الفوج الثالث في اللواء وسائق الآلية,1293200492542210049,26.0,34.0
109,8,15,Exaggeration/Minimisation,لص حنون,تونس لص حنون يسرق هاتفا ويعيد الشريحة وبطاقة الذاكرة لصاحبته,1396113781353238538,5.0,12.0
110,8,15,Name calling/Labeling,لص حنون,تونس لص حنون يسرق هاتفا ويعيد الشريحة وبطاقة الذاكرة لصاحبته,1396113781353238538,5.0,12.0
111,23,65,Appeal to fear/prejudice,المدنيون هم الأهداف الحقيقية لجيش الاحتلال,الواقع يكذب أفيخاي المدنيون هم الأهداف الحقيقية لجيش الاحتلال الإسرائيلي في غزة,1393023260829241344,19.0,61.0
112,52,77,Name calling/Labeling,لجيش الاحتلال الإسرائيلي,الواقع يكذب أفيخاي المدنيون هم الأهداف الحقيقية لجيش الاحتلال الإسرائيلي في غزة,1393023260829241344,48.0,72.0
113,57,77,Name calling/Labeling,الاحتلال الإسرائيلي,الواقع يكذب أفيخاي المدنيون هم الأهداف الحقيقية لجيش الاحتلال الإسرائيلي في غزة,1393023260829241344,53.0,72.0
114,0,20,Smears,الواقع يكذب أفيخاي,الواقع يكذب أفيخاي المدنيون هم الأهداف الحقيقية لجيش الاحتلال الإسرائيلي في غزة,1393023260829241344,0.0,18.0
115,0,0,no technique,,هادي عمرو المبعوث الأمريكي للشؤون الفلسطينية والإسرائيلية من هو,1393624062933471235,0.0,0.0
116,5,66,Presenting Irrelevant Data (Red Herring),شابة سعودية تقع في كارثة وتدهس جمعا من الناس بسيارتها الفارهة,شاهد شابة سعودية تقع في كارثة وتدهس جمعا من الناس بسيارتها الفارهة,1367143382750003203,5.0,66.0
117,24,29,Loaded Language,كارثة,شاهد شابة سعودية تقع في كارثة وتدهس جمعا من الناس بسيارتها الفارهة,1367143382750003203,24.0,29.0
118,50,66,Name calling/Labeling,بسيارتها الفارهة,شاهد شابة سعودية تقع في كارثة وتدهس جمعا من الناس بسيارتها الفارهة,1367143382750003203,50.0,66.0
119,30,37,Loaded Language,ميليشيا,تحالف دعم الشرعية في اليمن ميليشيا الحوثي تتخذ اتفاق ستوكهولم مظلة لإطلاق الهجمات العدائية من الحديدة العربية,7036,27.0,34.0
120,30,45,Name calling/Labeling,ميليشيا الحوثي,تحالف دعم الشرعية في اليمن ميليشيا الحوثي تتخذ اتفاق ستوكهولم مظلة لإطلاق الهجمات العدائية من الحديدة العربية,7036,27.0,41.0
121,79,95,Loaded Language,الهجمات العدائية,تحالف دعم الشرعية في اليمن ميليشيا الحوثي تتخذ اتفاق ستوكهولم مظلة لإطلاق الهجمات العدائية من الحديدة العربية,7036,74.0,90.0
122,79,95,Name calling/Labeling,الهجمات العدائية,تحالف دعم الشرعية في اليمن ميليشيا الحوثي تتخذ اتفاق ستوكهولم مظلة لإطلاق الهجمات العدائية من الحديدة العربية,7036,74.0,90.0
123,0,18,Name calling/Labeling,مشاهد وكلمات حزينة,مشاهد وكلمات حزينة لسكان غزة من أطلال ذكرياتهم التي تدمرت من القصف تاجر خسر محله في برج الشروق المدمر يختصر مأساة أهل القطاع العربية,7038,0.0,18.0
124,13,18,Loaded Language,حزينة,مشاهد وكلمات حزينة لسكان غزة من أطلال ذكرياتهم التي تدمرت من القصف تاجر خسر محله في برج الشروق المدمر يختصر مأساة أهل القطاع العربية,7038,13.0,18.0
125,33,47,Loaded Language,أطلال ذكرياتهم,مشاهد وكلمات حزينة لسكان غزة من أطلال ذكرياتهم التي تدمرت من القصف تاجر خسر محله في برج الشروق المدمر يختصر مأساة أهل القطاع العربية,7038,32.0,46.0
126,53,67,Loaded Language,تدمرت من القصف,مشاهد وكلمات حزينة لسكان غزة من أطلال ذكرياتهم التي تدمرت من القصف تاجر خسر محله في برج الشروق المدمر يختصر مأساة أهل القطاع العربية,7038,52.0,66.0
127,98,104,Loaded Language,المدمر,مشاهد وكلمات حزينة لسكان غزة من أطلال ذكرياتهم التي تدمرت من القصف تاجر خسر محله في برج الشروق المدمر يختصر مأساة أهل القطاع العربية,7038,95.0,101.0
128,111,116,Loaded Language,مأساة,مشاهد وكلمات حزينة لسكان غزة من أطلال ذكرياتهم التي تدمرت من القصف تاجر خسر محله في برج الشروق المدمر يختصر مأساة أهل القطاع العربية,7038,108.0,113.0
129,0,181,Smears,قائد حركة الجهاد شكر جهوده و إسماعيل هنية عده شهيدا من هو قاسم سليماني الذي قامت ميليشياته الطائفية بارتكاب مجازر مروعة بحق السوريين والعراقيين واليمنيين وشرد الملايين من العرب,قائد حركة الجهاد شكر جهوده و إسماعيل هنية عده شهيدا من هو قاسم سليماني الذي قامت ميليشياته الطائفية بارتكاب مجازر مروعة بحق السوريين والعراقيين واليمنيين وشرد الملايين من العرب العربية,7039,0.0,176.0
130,46,52,Loaded Language,شهيدا,قائد حركة الجهاد شكر جهوده و إسماعيل هنية عده شهيدا من هو قاسم سليماني الذي قامت ميليشياته الطائفية بارتكاب مجازر مروعة بحق السوريين والعراقيين واليمنيين وشرد الملايين من العرب العربية,7039,46.0,51.0
131,85,103,Name calling/Labeling,ميليشياته الطائفية,قائد حركة الجهاد شكر جهوده و إسماعيل هنية عده شهيدا من هو قاسم سليماني الذي قامت ميليشياته الطائفية بارتكاب مجازر مروعة بحق السوريين والعراقيين واليمنيين وشرد الملايين من العرب العربية,7039,81.0,99.0
132,85,103,Loaded Language,ميليشياته الطائفية,قائد حركة الجهاد شكر جهوده و إسماعيل هنية عده شهيدا من هو قاسم سليماني الذي قامت ميليشياته الطائفية بارتكاب مجازر مروعة بحق السوريين والعراقيين واليمنيين وشرد الملايين من العرب العربية,7039,81.0,99.0
133,112,123,Loaded Language,مجازر مروعة,قائد حركة الجهاد شكر جهوده و إسماعيل هنية عده شهيدا من هو قاسم سليماني الذي قامت ميليشياته الطائفية بارتكاب مجازر مروعة بحق السوريين والعراقيين واليمنيين وشرد الملايين من العرب العربية,7039,108.0,119.0
