,full_text,start,end,technique,text,id,start_new,end_new,augmented_text,augmented_full_text
95,عين العرب قطع للشوارع في المكلا الان مع استمرار احتشاد المواطنين الغاضبين من تردي الخدمات في المحافظة,0,0,no technique,,1156656273749946368,0.0,0.0,,عين العرب قطع للشوارع في المكلا الان مع استمرار احتشاد المواطنين الغاضبين من تردي الخدمات في المحافظة
102,فئات جديدة تستفيد من التطعيم تتراوح أعمارها بين و سنة رغم أن آخر إعلان رسمي لوزارة الصحة يهم المواطنات والمواطنين الذين تفوق أعمارهم سنة المغرب كورونا كوفيد صحة فيروس لقاح كورونا,0,0,no technique,,7351,0.0,0.0,,فئات جديدة تستفيد من التطعيم تتراوح أعمارها بين و سنة رغم أن آخر إعلان رسمي لوزارة الصحة يهم المواطنات والمواطنين الذين تفوق أعمارهم سنة المغرب كورونا كوفيد صحة فيروس لقاح كورونا
103,توقيف تجار مخدرات و حجز قرابة قنطار من الكيف المعالج,0,0,no technique,,7347,0.0,0.0,,توقيف تجار مخدرات و حجز قرابة قنطار من الكيف المعالج
105,سالفة حسون البزونه واسمه لمشاهدة كافة حلقات البرنامج أنقر هنا اكوفد واحد اكو فد واحد نكتة نكات نكات عراقية ضحك ترفيه العراق السومرية,0,0,no technique,,1375507850089357313,0.0,0.0,,سالفة حسون البزونه واسمه لمشاهدة كافة حلقات البرنامج أنقر هنا اكوفد واحد اكو فد واحد نكتة نكات نكات عراقية ضحك ترفيه العراق السومرية
109,غزة وإسرائيل بلينكن يزور الشرق الأوسط لتعزيز وقف إطلاق النار عربي,0,0,no technique,,7084,0.0,0.0,,غزة وإسرائيل بلينكن يزور الشرق الأوسط لتعزيز وقف إطلاق النار عربي
112,سعد بن محمد الرميحي يكتب للشرق هي بحق عروس الفضاء,0,0,no technique,,1393819025801625601,0.0,0.0,,سعد بن محمد الرميحي يكتب للشرق هي بحق عروس الفضاء
116,سقوط تلفريك في شمال إيطاليا يسفر عن مقتل بينهم إسرائيليين,0,0,no technique,,1396736284778012674,0.0,0.0,,سقوط تلفريك في شمال إيطاليا يسفر عن مقتل بينهم إسرائيليين
120,وتحدث قائلا لايمكن أن تتحمل الدولة المسؤولية وحدها في ارتفاع حوادث السير فالسائق كذلك يتحمل المسؤولية حينما لايتقيد بإجراءات السلامة والضوابط القانونية المنظمة للسير,0,0,no technique,,1372295109983735816,0.0,0.0,,وتحدث قائلا لايمكن أن تتحمل الدولة المسؤولية وحدها في ارتفاع حوادث السير فالسائق كذلك يتحمل المسؤولية حينما لايتقيد بإجراءات السلامة والضوابط القانونية المنظمة للسير
132,الوصال ما اسم الحيوان البري الذي تتخذه ولاية المضيبي شعارا لها حيوان النمر حيوان الغزال حيوان الوعل برنامج المسابقات حواء الأولى وآدم الأول,0,0,no technique,,1388816201845985280,0.0,0.0,,الوصال ما اسم الحيوان البري الذي تتخذه ولاية المضيبي شعارا لها حيوان النمر حيوان الغزال حيوان الوعل برنامج المسابقات حواء الأولى وآدم الأول
133,واحدة من الشخصيات الأكثر شهرة في تاريخ لعبة غولف السيدات أنيكا سورينستام تخلق فرصا للجيل القادم من لاعبات الغولف,0,0,no technique,,1393846208926470146,0.0,0.0,,واحدة من الشخصيات الأكثر شهرة في تاريخ لعبة غولف السيدات أنيكا سورينستام تخلق فرصا للجيل القادم من لاعبات الغولف
134,رياض محرز يرفع علم فلسطين أثناء الاحتفال بتتويج مانشستر سيتي بلقب الدوري الإنجليزي,0,0,no technique,,1396578078176993282,0.0,0.0,,رياض محرز يرفع علم فلسطين أثناء الاحتفال بتتويج مانشستر سيتي بلقب الدوري الإنجليزي
136,أحدهما طفل مخلفات القصف والمعارك تودي بحياة شخصين بأرياف درعا ودير الزور,0,0,no technique,,1363867147454267399,0.0,0.0,,أحدهما طفل مخلفات القصف والمعارك تودي بحياة شخصين بأرياف درعا ودير الزور
141,الذهب الأبيض فيلم عماني يفوز بجائزة مهرجان سينمانا الدولي,0,0,no technique,,7321,0.0,0.0,,الذهب الأبيض فيلم عماني يفوز بجائزة مهرجان سينمانا الدولي
145,كرامي بعد جلسة مجلس النواب اللهم انا لا نسألك رد القضاء وانما نسألك اللطف فيه,0,0,no technique,,1396173098160906244,0.0,0.0,,كرامي بعد جلسة مجلس النواب اللهم انا لا نسألك رد القضاء وانما نسألك اللطف فيه
147,هزة أرضية يصل تأثيرها إلى مناطق ب عمان و الإمارات,0,0,no technique,,7312,0.0,0.0,,هزة أرضية يصل تأثيرها إلى مناطق ب عمان و الإمارات
148,بعد كشف مقدار ثروته التي جمعها طيلة مشواره الفني عادل إمام يصبح أغنى فنان في مصر مصر عادل إمام ثروة فن غني,0,0,no technique,,1390358510756667400,0.0,0.0,,بعد كشف مقدار ثروته التي جمعها طيلة مشواره الفني عادل إمام يصبح أغنى فنان في مصر مصر عادل إمام ثروة فن غني
154,مجلس العشائر والقبائل السورية يجدد رفضه مشروعات التغير الديموغرافي والانفصال في سوريا,0,0,no technique,,7095,0.0,0.0,,مجلس العشائر والقبائل السورية يجدد رفضه مشروعات التغير الديموغرافي والانفصال في سوريا
158,الجيش الإسرائيلي يدرس الوضع الصحي لخصومه عين ليبيا,0,0,no technique,,1383542766219583500,0.0,0.0,,الجيش الإسرائيلي يدرس الوضع الصحي لخصومه عين ليبيا
177,بعد استهداف إسرائيل للأنفاق وعدد من منازل قيادات حماس سؤال يطرح نفسه كيفية استطاع الجيش الإسرائيلي تحديد تلك المواقع بدقة العربية,0,0,no technique,,7055,0.0,0.0,,بعد استهداف إسرائيل للأنفاق وعدد من منازل قيادات حماس سؤال يطرح نفسه كيفية استطاع الجيش الإسرائيلي تحديد تلك المواقع بدقة العربية
178,الجانبان أكدا على أهمية الحوار بين باكستان والهند لحل القضايا العالقة بين البلدين خصوصا نزاع جامو وكشمير لضمان السلام والاستقرار في المنطقة,0,0,no technique,,1391079106985566211,0.0,0.0,,الجانبان أكدا على أهمية الحوار بين باكستان والهند لحل القضايا العالقة بين البلدين خصوصا نزاع جامو وكشمير لضمان السلام والاستقرار في المنطقة
202,عين العرب نشطاء يدشنون هاشتاق عدن الغد تكذب بعد نشرها خبر كاذب عن سحب الأمارات مولدات كهربا قدمتها مساعده لمطار عدن,0,0,no technique,,1190362446327959553,0.0,0.0,,عين العرب نشطاء يدشنون هاشتاق عدن الغد تكذب بعد نشرها خبر كاذب عن سحب الأمارات مولدات كهربا قدمتها مساعده لمطار عدن
203,لأول مرة يتمكن العلماء من تحديد كيفية العثور عليها ما هي حرائق الزومبي,0,0,no technique,,1396702509637509125,0.0,0.0,,لأول مرة يتمكن العلماء من تحديد كيفية العثور عليها ما هي حرائق الزومبي
208,من عمان دور الوثائق الوطنية العمانية في حفظ الذاكرة الوطنية لقاء مع الدكتور عبدالعزيز بن هلال الخروصي الباحث في التاريخ الشفوي والوثائق العمانية,0,0,no technique,,1357209310187704321,0.0,0.0,,من عمان دور الوثائق الوطنية العمانية في حفظ الذاكرة الوطنية لقاء مع الدكتور عبدالعزيز بن هلال الخروصي الباحث في التاريخ الشفوي والوثائق العمانية
209,تشيلسي يتوج بكأس دوري أبطال أوروبا للمرة الثانية في تاريخه الخليج أونلاين,0,0,no technique,,7308,0.0,0.0,,تشيلسي يتوج بكأس دوري أبطال أوروبا للمرة الثانية في تاريخه الخليج أونلاين
216,الإعلامي سلام مليك وراء القضبان أرشيف نواة مقتطفات من تدخل الإعلامي,0,0,no technique,,863107976848171009,0.0,0.0,,الإعلامي سلام مليك وراء القضبان أرشيف نواة مقتطفات من تدخل الإعلامي
238,نتنياهو حماس أنشأت مدينة تحت الأرض في غزة وستعلن النصر في المعركة على أي حال,0,0,no technique,,1394961924169912322,0.0,0.0,,نتنياهو حماس أنشأت مدينة تحت الأرض في غزة وستعلن النصر في المعركة على أي حال
245,الخليج العربي في ظل التقارب الصيني الإيراني,0,0,no technique,,7299,0.0,0.0,,الخليج العربي في ظل التقارب الصيني الإيراني
254,سبعيني نازح من مدينة البوكمال يبعث روح الجمال والفن في أخشاب ميتة,0,0,no technique,,1355571257497022464,0.0,0.0,,سبعيني نازح من مدينة البوكمال يبعث روح الجمال والفن في أخشاب ميتة
275,بتسعة أرواح كيف نجا قط من حريق بناية شاهقة شاهد سكاي,0,0,no technique,,1393212003515133953,0.0,0.0,,بتسعة أرواح كيف نجا قط من حريق بناية شاهقة شاهد سكاي
315,يوم النصر إصرار إنتصار وبناء,0,0,no technique,,1372699741289611264,0.0,0.0,,يوم النصر إصرار إنتصار وبناء
366,المالية النيابية البحث عن مكاسب مسبقة للانتخابات المبكرة يعطل الموازنة,0,0,no technique,,1374223199949438979,0.0,0.0,,المالية النيابية البحث عن مكاسب مسبقة للانتخابات المبكرة يعطل الموازنة
386,للعام الثالث رالي داكار يقام في الربع الخالي,0,0,no technique,,1392205794054180868,0.0,0.0,,للعام الثالث رالي داكار يقام في الربع الخالي
472,محمد صلاح يرد على احتفال هاري كين مهاجم توتنهام بلقب هداف الدوري الإنجليزي على تويتر تستحق اللقب عن جدارة أهنئك,0,0,no technique,,1396782395160993792,0.0,0.0,,محمد صلاح يرد على احتفال هاري كين مهاجم توتنهام بلقب هداف الدوري الإنجليزي على تويتر تستحق اللقب عن جدارة أهنئك
0,احتفالات بالنصر في غزة فيما سكانها يئنون تحت أنقاض الدمار الذي سببته صواريخ حماس العبثية الإرهابية والتي ارجعتهم سنوات إلى الوراء مضحك قال نصر قال نصر المهزومين,83,101,Exaggeration/Minimisation,العبثية الإرهابية,7073,81.0,98.0,العبثية الإرهابية,احتفالات بالنصر في غزة فيما سكانها يئنون تحت أنقاض الدمار الذي سببته صواريخ حماس العبثية الإرهابية والتي ارجعتهم سنوات إلى الوراء مضحك قال نصر قال نصر المهزومين
1,خبير يعتبر اختبار الأسلحة الروسية الحديثة على أجساد السوريين خطوة طبيعية,0,74,Exaggeration/Minimisation,خبير يعتبر اختبار الأسلحة الروسية الحديثة على أجساد السوريين خطوة طبيعية,7066,0.0,72.0,خبير يعتبر اختبار الأسلحة الروسية الحديثة على أجساد السوريين خطوة طبيعية,خبير يعتبر اختبار الأسلحة الروسية الحديثة على أجساد السوريين خطوة طبيعية
2,أدى مشاركة الملايين من الهنود في مهرجان ديني هندوسي دون اتباع قواعد السلامة إلى استفحال تفشي كوفيد في البلاد وارتفاع حاد في عدد حالات الإصابة والوفيات,82,89,Exaggeration/Minimisation,استفحال,7300,80.0,87.0,استفحال,أدى مشاركة الملايين من الهنود في مهرجان ديني هندوسي دون اتباع قواعد السلامة إلى استفحال تفشي كوفيد في البلاد وارتفاع حاد في عدد حالات الإصابة والوفيات
